,lat_d,long_d,Altitude,Gimbal Degree,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,date,time,lat_p,long_p,spot,northing,easting,alt,obs,medicao,secchi_m,secchi_cm,chl_rfu,pc_rfu,cond_uscm,depth_m,fdom_qsu,fdom_rfu,od_mgl,orp_mv,press_psi,sal_psu,cond_uscm.1,sdt_mgl,turb_fnu,ph,temp_c,vertical_position_m,epsg,press_mmhg,id,Distance
1267,-19.8503660833333,-43.9849882222222,839.062,90.0,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_9051.TIF,0.0688599890424834,0.1497376163041094,0.1392654861689341,0.085544044668159,0.1617095945277715,0000SET_000_DJI_9051.T,-0.4701924530671088,5.034447720230056,0.1026731666307671,-0.238964252541873,0.074571317688106,1.1611605931681586,0.6142515782007248,0.4580160399219167,2.832336827381374,0.3699840496120357,2.17452280179319,1.0751954444942102,2022-06-15,11:46:29,-19.85122,-43.98524,B3,,,,rede,,0.3,30,14.2,9.61,320.0,0.201,27.63,8.93,6.1,139.3,0.285,0.17,352.6,229.0,40.5,7.35,20.157,0.37,4674,697.5,127,98.535
1270,-19.8503660833333,-43.9849882222222,839.062,90.0,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_9051.TIF,0.0688599890424834,0.1497376163041094,0.1392654861689341,0.085544044668159,0.1617095945277715,0000SET_000_DJI_9051.T,-0.4701924530671088,5.034447720230056,0.1026731666307671,-0.238964252541873,0.074571317688106,1.1611605931681586,0.6142515782007248,0.4580160399219167,2.832336827381374,0.3699840496120357,2.17452280179319,1.0751954444942102,2022-06-15,11:40:55,-19.85014,-43.98422,B4,,,,rede,,0.3,30,9.89,10.24,302.3,0.194,27.56,8.9,7.5,137.0,0.276,0.16,331.0,215.0,34.16,7.56,20.456,0.347,4674,697.5,130,84.188
1271,-19.8503660833333,-43.9849882222222,839.062,90.0,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_9051.TIF,0.0688599890424834,0.1497376163041094,0.1392654861689341,0.085544044668159,0.1617095945277715,0000SET_000_DJI_9051.T,-0.4701924530671088,5.034447720230056,0.1026731666307671,-0.238964252541873,0.074571317688106,1.1611605931681586,0.6142515782007248,0.4580160399219167,2.832336827381374,0.3699840496120357,2.17452280179319,1.0751954444942102,2022-06-15,11:39:10,-19.85097,-43.98486,B5,,,,rede,,0.3,30,6.57,9.48,298.8,0.219,27.17,8.78,7.44,134.6,0.31,0.16,325.4,212.0,31.54,7.62,20.719,0.359,4674,697.5,131,68.478
1272,-19.8503660833333,-43.9849882222222,839.062,90.0,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_9051.TIF,0.0688599890424834,0.1497376163041094,0.1392654861689341,0.085544044668159,0.1617095945277715,0000SET_000_DJI_9051.T,-0.4701924530671088,5.034447720230056,0.1026731666307671,-0.238964252541873,0.074571317688106,1.1611605931681586,0.6142515782007248,0.4580160399219167,2.832336827381374,0.3699840496120357,2.17452280179319,1.0751954444942102,2022-06-15,11:36:58,-19.85121,-43.98505,B6,,,,rede,,0.3,30,6.26,10.52,299.9,0.13,26.13,8.44,8.19,132.4,0.185,0.15,323.9,211.0,33.32,7.74,21.109,0.34,4674,697.5,132,94.061
1294,-19.8504426666667,-43.9848460555556,839.192,90.0,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_9061.TIF,0.0601189030817846,0.150376864178885,0.1644223845684951,0.0761144667861406,0.1453105066676196,0000SET_000_DJI_9061.T,-0.6936138883879994,5.5854095055369415,-0.0907945948253111,-0.3671284349363899,-0.0617043860747297,0.8837635279950957,0.4629203437591117,0.50794689467643,3.495596473545424,0.4287875346459034,2.501324150480843,0.9145765923145396,2022-06-15,11:44:37,-19.85076,-43.98491,B2,,,,rede,,0.3,30,17.58,8.69,333.2,0.203,29.35,9.48,5.05,141.3,0.288,0.18,371.1,241.0,37.25,7.22,19.658,0.365,4674,697.5,124,35.914
1297,-19.8504426666667,-43.9848460555556,839.192,90.0,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_9061.TIF,0.0601189030817846,0.150376864178885,0.1644223845684951,0.0761144667861406,0.1453105066676196,0000SET_000_DJI_9061.T,-0.6936138883879994,5.5854095055369415,-0.0907945948253111,-0.3671284349363899,-0.0617043860747297,0.8837635279950957,0.4629203437591117,0.50794689467643,3.495596473545424,0.4287875346459034,2.501324150480843,0.9145765923145396,2022-06-15,11:46:29,-19.85122,-43.98524,B3,,,,rede,,0.3,30,14.2,9.61,320.0,0.201,27.63,8.93,6.1,139.3,0.285,0.17,352.6,229.0,40.5,7.35,20.157,0.37,4674,697.5,127,95.753
1300,-19.8504426666667,-43.9848460555556,839.192,90.0,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_9061.TIF,0.0601189030817846,0.150376864178885,0.1644223845684951,0.0761144667861406,0.1453105066676196,0000SET_000_DJI_9061.T,-0.6936138883879994,5.5854095055369415,-0.0907945948253111,-0.3671284349363899,-0.0617043860747297,0.8837635279950957,0.4629203437591117,0.50794689467643,3.495596473545424,0.4287875346459034,2.501324150480843,0.9145765923145396,2022-06-15,11:40:55,-19.85014,-43.98422,B4,,,,rede,,0.3,30,9.89,10.24,302.3,0.194,27.56,8.9,7.5,137.0,0.276,0.16,331.0,215.0,34.16,7.56,20.456,0.347,4674,697.5,130,73.621
1301,-19.8504426666667,-43.9848460555556,839.192,90.0,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_9061.TIF,0.0601189030817846,0.150376864178885,0.1644223845684951,0.0761144667861406,0.1453105066676196,0000SET_000_DJI_9061.T,-0.6936138883879994,5.5854095055369415,-0.0907945948253111,-0.3671284349363899,-0.0617043860747297,0.8837635279950957,0.4629203437591117,0.50794689467643,3.495596473545424,0.4287875346459034,2.501324150480843,0.9145765923145396,2022-06-15,11:39:10,-19.85097,-43.98486,B5,,,,rede,,0.3,30,6.57,9.48,298.8,0.219,27.17,8.78,7.44,134.6,0.31,0.16,325.4,212.0,31.54,7.62,20.719,0.359,4674,697.5,131,58.655
1302,-19.8504426666667,-43.9848460555556,839.192,90.0,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_9061.TIF,0.0601189030817846,0.150376864178885,0.1644223845684951,0.0761144667861406,0.1453105066676196,0000SET_000_DJI_9061.T,-0.6936138883879994,5.5854095055369415,-0.0907945948253111,-0.3671284349363899,-0.0617043860747297,0.8837635279950957,0.4629203437591117,0.50794689467643,3.495596473545424,0.4287875346459034,2.501324150480843,0.9145765923145396,2022-06-15,11:36:58,-19.85121,-43.98505,B6,,,,rede,,0.3,30,6.26,10.52,299.9,0.13,26.13,8.44,8.19,132.4,0.185,0.15,323.9,211.0,33.32,7.74,21.109,0.34,4674,697.5,132,87.949
1324,-19.8505309722222,-43.9846769722222,839.298,90.0,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_9071.TIF,0.0624879517488525,0.1612641961771713,0.1639622319278077,0.098631322161489,0.1338877879148606,0000SET_000_DJI_9071.T,-0.6292424641330274,5.697350488652455,-0.1344096326748568,-0.2487909880076587,-0.1009717710572359,0.8165770027686082,0.6015490335903466,0.7851605498100606,5.864317889166598,0.4414538378464008,2.580724630330561,0.9835447729704953,2022-06-15,11:44:37,-19.85076,-43.98491,B2,,,,rede,,0.3,30,17.58,8.69,333.2,0.203,29.35,9.48,5.05,141.3,0.288,0.18,371.1,241.0,37.25,7.22,19.658,0.365,4674,697.5,124,35.25
