,lat_d,long_d,Degree,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,R^2/NIR,R^2/RE,R^2/B,R/B,MLR,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,date,time,lat_p,long_p,spot,northing,easting,alt,obs,medicao,secchi_m,secchi_cm,chl_rfu,pc_rfu,cond_uscm,depth_m,fdom_qsu,fdom_rfu,od_mgl,orp_mv,press_psi,sal_psu,cond_uscm.1,sdt_mgl,turb_fnu,ph,temp_c,vertical_position_m,epsg,press_mmhg,id,Distance
9627,-19.8480336388889,-43.9921005555556,89.9,2022-08-24, _Pampulha_2022-08-24_0001SET_000_DJI_5981.TIF,0.0607529589463544,0.1633044006999994,0.144741258681702,0.0749710855174063,0.2575967206170512,0001SET_000_DJI_5981.T,4245226.980189202,184.5104391458839,12450887696.177477,inf,1.5702322608576007e+35,-0.5143051832977819,5.855814924132441,0.503690046662503,-0.3175523588290896,0.2804991518127329,1.779704853773088,0.5179662398975949,0.8041211255550879,3.1216279602818062,0.4577017327862359,2.6880073585255198,1.1282505222586137,2022-08-24,10:18:41,-19.84764,-43.99193,P0,,,,,,0.2,20,16.94,10.96,344.4,0.298,31.9,10.31,5.76,132.7,0.423,0.18,375.8,244.0,41.06,7.5,20.623,0.415,4674,700.0,211,47.266
9658,-19.8481600277778,-43.992155,90.0,2022-08-24, _Pampulha_2022-08-24_0001SET_000_DJI_5991.TIF,0.0616661386735188,0.1617123359492729,0.14533011903094,0.0732309044714556,0.13022390632012,0001SET_000_DJI_5991.T,6929829.616125661,33035.1792594653,10636438499.907694,inf,28430699075249.79,-0.5173630067632288,5.760001065331259,-0.0676260894713742,-0.3298813914947381,-0.054821237655935,0.8960558705136408,0.5038935147081599,0.333492758110989,2.560918095109111,0.4478775201804794,2.6223846575741057,1.1127241691369234,2022-08-24,10:16:45,-19.84865,-43.99236,A2,,,,,,0.2,20,17.44,12.27,346.8,0.129,29.54,9.55,7.83,130.4,0.183,0.18,377.6,245.0,47.48,7.67,20.724,0.294,4674,700.0,210,58.549
9659,-19.8481600277778,-43.992155,90.0,2022-08-24, _Pampulha_2022-08-24_0001SET_000_DJI_5991.TIF,0.0616661386735188,0.1617123359492729,0.14533011903094,0.0732309044714556,0.13022390632012,0001SET_000_DJI_5991.T,6929829.616125661,33035.1792594653,10636438499.907694,inf,28430699075249.79,-0.5173630067632288,5.760001065331259,-0.0676260894713742,-0.3298813914947381,-0.054821237655935,0.8960558705136408,0.5038935147081599,0.333492758110989,2.560918095109111,0.4478775201804794,2.6223846575741057,1.1127241691369234,2022-08-24,10:18:41,-19.84764,-43.99193,P0,,,,,,0.2,20,16.94,10.96,344.4,0.298,31.9,10.31,5.76,132.7,0.423,0.18,375.8,244.0,41.06,7.5,20.623,0.415,4674,700.0,211,62.43
9690,-19.8482951666667,-43.9922086944444,90.0,2022-08-24, _Pampulha_2022-08-24_0001SET_000_DJI_6001.TIF,0.0615423263754177,0.1630134430601003,0.1458982330541757,0.0728947882746308,0.2495033826360381,0001SET_000_DJI_6001.T,8435272.443529561,238.2739963907051,13355854431.74305,inf,1.887248525274764e+34,-0.5174782220117724,5.7982111608406335,0.4613782573580813,-0.3336644118544982,0.2620251042753304,1.7101192894049044,0.499627629126688,0.6313876793476269,2.5305776325632454,0.4518749036809779,2.648802095417926,1.117309234304224,2022-08-24,10:16:45,-19.84865,-43.99236,A2,,,,,,0.2,20,17.44,12.27,346.8,0.129,29.54,9.55,7.83,130.4,0.183,0.18,377.6,245.0,47.48,7.67,20.724,0.294,4674,700.0,210,42.511
9691,-19.8482951666667,-43.9922086944444,90.0,2022-08-24, _Pampulha_2022-08-24_0001SET_000_DJI_6001.TIF,0.0615423263754177,0.1630134430601003,0.1458982330541757,0.0728947882746308,0.2495033826360381,0001SET_000_DJI_6001.T,8435272.443529561,238.2739963907051,13355854431.74305,inf,1.887248525274764e+34,-0.5174782220117724,5.7982111608406335,0.4613782573580813,-0.3336644118544982,0.2620251042753304,1.7101192894049044,0.499627629126688,0.6313876793476269,2.5305776325632454,0.4518749036809779,2.648802095417926,1.117309234304224,2022-08-24,10:18:41,-19.84764,-43.99193,P0,,,,,,0.2,20,16.94,10.96,344.4,0.298,31.9,10.31,5.76,132.7,0.423,0.18,375.8,244.0,41.06,7.5,20.623,0.415,4674,700.0,211,78.466
9722,-19.848365,-43.9922381388889,89.9,2022-08-24, _Pampulha_2022-08-24_0001SET_000_DJI_6011.TIF,0.0615548990449196,0.1624208011914545,0.1453379650513425,0.0707984894443432,0.2487143509916053,0001SET_000_DJI_6011.T,11926484.525895355,232.45477462007517,11117340351.966,inf,3.5972651645238115e+34,-0.5158395069586137,5.783638946671083,0.4615517925880527,-0.3448722973684534,0.2623417798386847,1.7112827395357006,0.4871300449220733,0.5275394265016495,2.121065488977173,0.4503430597162347,2.6386332154152043,1.117538704591586,2022-08-24,10:16:45,-19.84865,-43.99236,A2,,,,,,0.2,20,17.44,12.27,346.8,0.129,29.54,9.55,7.83,130.4,0.183,0.18,377.6,245.0,47.48,7.67,20.724,0.294,4674,700.0,210,34.158
9723,-19.848365,-43.9922381388889,89.9,2022-08-24, _Pampulha_2022-08-24_0001SET_000_DJI_6011.TIF,0.0615548990449196,0.1624208011914545,0.1453379650513425,0.0707984894443432,0.2487143509916053,0001SET_000_DJI_6011.T,11926484.525895355,232.45477462007517,11117340351.966,inf,3.5972651645238115e+34,-0.5158395069586137,5.783638946671083,0.4615517925880527,-0.3448722973684534,0.2623417798386847,1.7112827395357006,0.4871300449220733,0.5275394265016495,2.121065488977173,0.4503430597162347,2.6386332154152043,1.117538704591586,2022-08-24,10:18:41,-19.84764,-43.99193,P0,,,,,,0.2,20,16.94,10.96,344.4,0.298,31.9,10.31,5.76,132.7,0.423,0.18,375.8,244.0,41.06,7.5,20.623,0.415,4674,700.0,211,86.82
9754,-19.8484938888889,-43.9922933888889,89.9,2022-08-24, _Pampulha_2022-08-24_0001SET_000_DJI_6021.TIF,0.0598059616923836,0.1599215046703045,0.1440990995937694,0.071063089178243,0.2457810410911026,0001SET_000_DJI_6021.T,8520872.039517812,225.90764170900067,14596859964.38785,inf,9.021365743575202e+33,-0.5270907003730689,5.838587880645077,0.4627639101317186,-0.3394463071432869,0.2608030799381484,1.70563897889706,0.4931542901973528,0.6510096150298086,2.6487381294332693,0.4556350857505792,2.6740060713825256,1.1098022480441594,2022-08-24,10:16:45,-19.84865,-43.99236,A2,,,,,,0.2,20,17.44,12.27,346.8,0.129,29.54,9.55,7.83,130.4,0.183,0.18,377.6,245.0,47.48,7.67,20.724,0.294,4674,700.0,210,18.705
9786,-19.8485734722222,-43.9923276388889,90.0,2022-08-24, _Pampulha_2022-08-24_0001SET_000_DJI_6031.TIF,0.0616300109879266,0.1606712039414283,0.1437842522009865,0.0708828396479762,0.1274947246474951,0001SET_000_DJI_6031.T,8275200.862267482,32963.942763265775,6612646941.057092,inf,25271807761091.395,-0.5113190117316151,5.737895054952023,-0.0732768264836882,-0.3396021808703818,-0.060047143139255,0.8867085421098733,0.4929805494199307,0.2700432852158176,2.118074186696345,0.4455269980642076,2.607028643446194,1.1174464621955724,2022-08-24,10:16:45,-19.84865,-43.99236,A2,,,,,,0.2,20,17.44,12.27,346.8,0.129,29.54,9.55,7.83,130.4,0.183,0.18,377.6,245.0,47.48,7.67,20.724,0.294,4674,700.0,210,9.158
9818,-19.8486226944444,-43.9923488333333,89.9,2022-08-24, _Pampulha_2022-08-24_0001SET_000_DJI_6041.TIF,0.0613754817973682,0.1591441595826667,0.142612814234616,0.0732363489775529,0.1269621414081853,0001SET_000_DJI_6041.T,3862033.087573103,29064.65514753193,5024295945.66271,inf,5712623225060.331,-0.5104637999300844,5.71810324798883,-0.0709717861342743,-0.3214117869378511,-0.0580568502334042,0.890257597745155,0.5135327380684733,0.3350187251445943,2.638729320636644,0.4433558714926793,2.5929598419786397,1.1159176714713348,2022-08-24,10:16:45,-19.84865,-43.99236,A2,,,,,,0.2,20,17.44,12.27,346.8,0.129,29.54,9.55,7.83,130.4,0.183,0.18,377.6,245.0,47.48,7.67,20.724,0.294,4674,700.0,210,3.253
