Latitude,Longitude,Degree,DateTime,Image Index
-19.8504905833333,-43.9759289166667,90.0,2022:08:24 08:44:51, _Pampulha_2022-08-24_0000SET_000_DJI_3631.TIF
-19.8504909444444,-43.9758612222222,90.0,2022:08:24 08:44:52, _Pampulha_2022-08-24_0000SET_000_DJI_3641.TIF
-19.8504924722222,-43.9758541944444,89.9,2022:08:24 08:44:54, _Pampulha_2022-08-24_0000SET_000_DJI_3651.TIF
-19.8504731666667,-43.9758457777778,89.9,2022:08:24 08:44:55, _Pampulha_2022-08-24_0000SET_000_DJI_3661.TIF
-19.8504078611111,-43.97580875,89.9,2022:08:24 08:44:57, _Pampulha_2022-08-24_0000SET_000_DJI_3671.TIF
-19.850333,-43.9757602222222,89.9,2022:08:24 08:44:58, _Pampulha_2022-08-24_0000SET_000_DJI_3681.TIF
-19.8502162777778,-43.9756926944444,90.0,2022:08:24 08:45:00, _Pampulha_2022-08-24_0000SET_000_DJI_3691.TIF
-19.8499572777778,-43.9755426944444,90.0,2022:08:24 08:45:05, _Pampulha_2022-08-24_0000SET_000_DJI_3701.TIF
-19.8498159722222,-43.9754630833333,89.9,2022:08:24 08:45:07, _Pampulha_2022-08-24_0000SET_000_DJI_3711.TIF
-19.8496895555556,-43.975386,90.0,2022:08:24 08:45:10, _Pampulha_2022-08-24_0000SET_000_DJI_3721.TIF
-19.8496195555556,-43.9753457222222,90.0,2022:08:24 08:45:11, _Pampulha_2022-08-24_0000SET_000_DJI_3731.TIF
-19.8495519722222,-43.9753082777778,90.0,2022:08:24 08:45:12, _Pampulha_2022-08-24_0000SET_000_DJI_3741.TIF
-19.8495121944444,-43.9752863055556,90.0,2022:08:24 08:45:13, _Pampulha_2022-08-24_0000SET_000_DJI_3751.TIF
-19.8495054444444,-43.9752843888889,89.9,2022:08:24 08:45:15, _Pampulha_2022-08-24_0000SET_000_DJI_3761.TIF
-19.8495121666667,-43.9752855833333,90.0,2022:08:24 08:45:16, _Pampulha_2022-08-24_0000SET_000_DJI_3771.TIF
-19.8495689444444,-43.9752838055556,90.0,2022:08:24 08:45:18, _Pampulha_2022-08-24_0000SET_000_DJI_3781.TIF
-19.8496705555556,-43.9752752222222,89.9,2022:08:24 08:45:19, _Pampulha_2022-08-24_0000SET_000_DJI_3791.TIF
-19.8497673888889,-43.9752724722222,89.9,2022:08:24 08:45:21, _Pampulha_2022-08-24_0000SET_000_DJI_3801.TIF
-19.8498444722222,-43.9752720277778,89.9,2022:08:24 08:45:22, _Pampulha_2022-08-24_0000SET_000_DJI_3811.TIF
-19.8499548888889,-43.9752694722222,89.9,2022:08:24 08:45:24, _Pampulha_2022-08-24_0000SET_000_DJI_3821.TIF
-19.8502129444444,-43.9752625555556,89.9,2022:08:24 08:45:28, _Pampulha_2022-08-24_0000SET_000_DJI_3831.TIF
-19.8506546944444,-43.9752532777778,90.0,2022:08:24 08:45:35, _Pampulha_2022-08-24_0000SET_000_DJI_3841.TIF
-19.8509538055556,-43.9752422777778,89.9,2022:08:24 08:45:40, _Pampulha_2022-08-24_0000SET_000_DJI_3851.TIF
-19.8510893888889,-43.9752376388889,90.0,2022:08:24 08:45:42, _Pampulha_2022-08-24_0000SET_000_DJI_3861.TIF
-19.85117925,-43.9752352777778,90.0,2022:08:24 08:45:43, _Pampulha_2022-08-24_0000SET_000_DJI_3871.TIF
-19.85134625,-43.9752285833333,89.9,2022:08:24 08:45:46, _Pampulha_2022-08-24_0000SET_000_DJI_3881.TIF
-19.8515256666667,-43.9752238055556,90.0,2022:08:24 08:45:49, _Pampulha_2022-08-24_0000SET_000_DJI_3891.TIF
-19.8517244444444,-43.97521725,89.9,2022:08:24 08:45:52, _Pampulha_2022-08-24_0000SET_000_DJI_3901.TIF
-19.8518263888889,-43.9752138055556,89.9,2022:08:24 08:45:53, _Pampulha_2022-08-24_0000SET_000_DJI_3911.TIF
-19.8521196944444,-43.9752029444444,90.0,2022:08:24 08:45:58, _Pampulha_2022-08-24_0000SET_000_DJI_3921.TIF
-19.8523052222222,-43.9751974444444,89.9,2022:08:24 08:46:01, _Pampulha_2022-08-24_0000SET_000_DJI_3931.TIF
-19.8525403611111,-43.9751893055556,90.0,2022:08:24 08:46:05, _Pampulha_2022-08-24_0000SET_000_DJI_3941.TIF
-19.8526681111111,-43.9751854444444,90.0,2022:08:24 08:46:07, _Pampulha_2022-08-24_0000SET_000_DJI_3951.TIF
-19.8526704166667,-43.9751861388889,90.0,2022:08:24 08:46:10, _Pampulha_2022-08-24_0000SET_000_DJI_3961.TIF
-19.8526651111111,-43.9752428611111,89.9,2022:08:24 08:46:11, _Pampulha_2022-08-24_0000SET_000_DJI_3971.TIF
-19.8526529444444,-43.9753370555556,89.9,2022:08:24 08:46:13, _Pampulha_2022-08-24_0000SET_000_DJI_3981.TIF
-19.8526415,-43.9754285,90.0,2022:08:24 08:46:14, _Pampulha_2022-08-24_0000SET_000_DJI_3991.TIF
-19.8526275,-43.9755344444444,89.9,2022:08:24 08:46:16, _Pampulha_2022-08-24_0000SET_000_DJI_4001.TIF
-19.8525951666667,-43.9757789722222,89.9,2022:08:24 08:46:19, _Pampulha_2022-08-24_0000SET_000_DJI_4011.TIF
-19.8525553333333,-43.9760748888889,90.0,2022:08:24 08:46:24, _Pampulha_2022-08-24_0000SET_000_DJI_4021.TIF
-19.8525223055556,-43.9763198333333,89.9,2022:08:24 08:46:27, _Pampulha_2022-08-24_0000SET_000_DJI_4031.TIF
-19.8525021111111,-43.9764747222222,89.9,2022:08:24 08:46:30, _Pampulha_2022-08-24_0000SET_000_DJI_4041.TIF
-19.8524790555556,-43.9766316111111,89.9,2022:08:24 08:46:32, _Pampulha_2022-08-24_0000SET_000_DJI_4051.TIF
-19.8524643333333,-43.9767444166667,90.0,2022:08:24 08:46:34, _Pampulha_2022-08-24_0000SET_000_DJI_4061.TIF
-19.8524561666667,-43.9768038333333,89.9,2022:08:24 08:46:35, _Pampulha_2022-08-24_0000SET_000_DJI_4071.TIF
-19.8524523055556,-43.9768315,90.0,2022:08:24 08:46:36, _Pampulha_2022-08-24_0000SET_000_DJI_4081.TIF
-19.8524534444444,-43.9768296666667,90.0,2022:08:24 08:46:37, _Pampulha_2022-08-24_0000SET_000_DJI_4091.TIF
-19.8524578888889,-43.9768308055556,90.0,2022:08:24 08:46:39, _Pampulha_2022-08-24_0000SET_000_DJI_4101.TIF
-19.8524754166667,-43.9768806944444,90.0,2022:08:24 08:46:40, _Pampulha_2022-08-24_0000SET_000_DJI_4111.TIF
-19.8525006388889,-43.9769523333333,89.9,2022:08:24 08:46:41, _Pampulha_2022-08-24_0000SET_000_DJI_4121.TIF
-19.8527926388889,-43.9777778333333,90.0,2022:08:24 08:46:54, _Pampulha_2022-08-24_0000SET_000_DJI_4131.TIF
-19.8529186111111,-43.97813425,90.0,2022:08:24 08:47:00, _Pampulha_2022-08-24_0000SET_000_DJI_4141.TIF
-19.8529484444444,-43.9782167222222,89.9,2022:08:24 08:47:01, _Pampulha_2022-08-24_0000SET_000_DJI_4151.TIF
