,lat_d,long_d,Degree,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,R^2/NIR,R^2/RE,R^2/B,R/B,MLR,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,date,time,lat_p,long_p,spot,northing,easting,alt,obs,medicao,secchi_m,secchi_cm,chl_rfu,pc_rfu,cond_uscm,depth_m,fdom_qsu,fdom_rfu,od_mgl,orp_mv,press_psi,sal_psu,cond_uscm.1,sdt_mgl,turb_fnu,ph,temp_c,vertical_position_m,epsg,press_mmhg,id,Distance
8347,-19.8500943333333,-43.9849856666667,33.9,2022-07-28, _Pampulha_2022-07-28_0001SET_ignore_DJI_1501.TIF,0.0985952080043761,0.2417875355744227,0.1804406880334775,0.2482958138547288,0.3470681594004434,0001SET_ignore_DJI_1501.T,1288.7653920940554,410.9682929620792,4649704460.523954,inf,1399375708037801.2,-0.3385016511899935,5.431476051973668,0.4895297264927049,0.1582676667892966,0.3158761643099051,1.9234473287757092,1.376052244982917,2.122331037767656,6.115026631754295,0.4206803378588359,2.4523254270500763,1.3399834494621492,2022-07-28,09:58:32,-19.85097,-43.98486,B5,,,,"sem nuvens, sem vento",,0.35,35,8.2,15.16,319.6,0.408,27.4,8.85,8.61,92.3,0.58,0.17,347.0,226.0,39.83,7.9,20.868,0.433,4674,696.5,167,98.253
8350,-19.8500943333333,-43.9849856666667,33.9,2022-07-28, _Pampulha_2022-07-28_0001SET_ignore_DJI_1501.TIF,0.0985952080043761,0.2417875355744227,0.1804406880334775,0.2482958138547288,0.3470681594004434,0001SET_ignore_DJI_1501.T,1288.7653920940554,410.9682929620792,4649704460.523954,inf,1399375708037801.2,-0.3385016511899935,5.431476051973668,0.4895297264927049,0.1582676667892966,0.3158761643099051,1.9234473287757092,1.376052244982917,2.122331037767656,6.115026631754295,0.4206803378588359,2.4523254270500763,1.3399834494621492,2022-07-28,10:02:45,-19.85076,-43.98491,B2,,,,"sem nuvens, sem vento",,0.2,20,16.09,7.8,334.9,0.293,28.63,9.25,5.24,95.4,0.417,0.18,379.5,247.0,50.37,7.43,18.849,0.518,4674,696.4,170,74.441
8351,-19.8500943333333,-43.9849856666667,33.9,2022-07-28, _Pampulha_2022-07-28_0001SET_ignore_DJI_1501.TIF,0.0985952080043761,0.2417875355744227,0.1804406880334775,0.2482958138547288,0.3470681594004434,0001SET_ignore_DJI_1501.T,1288.7653920940554,410.9682929620792,4649704460.523954,inf,1399375708037801.2,-0.3385016511899935,5.431476051973668,0.4895297264927049,0.1582676667892966,0.3158761643099051,1.9234473287757092,1.376052244982917,2.122331037767656,6.115026631754295,0.4206803378588359,2.4523254270500763,1.3399834494621492,2022-07-28,10:04:15,-19.84971,-43.98428,B1,,,,"sem nuvens, sem vento",,0.25,25,14.23,8.97,327.8,0.205,31.91,10.32,6.54,96.7,0.29,0.18,370.1,241.0,37.81,7.47,19.011,0.416,4674,696.3,171,85.285
8380,-19.8500945277778,-43.9849853611111,29.3,2022-07-28, _Pampulha_2022-07-28_0001SET_ignore_DJI_1511.TIF,0.1068502117792043,0.2622337425150109,0.1925690458990377,0.3622826527762824,0.4507449566600262,0001SET_ignore_DJI_1511.T,267.78530278811496,195.9964476547307,14455603060.085026,inf,2738353400.8375,-0.3268794980299938,5.421527703802796,0.6995045646313401,0.3058720145985444,0.4013217646965252,2.3406926827499985,1.8813130172864028,2.974294742094882,6.598620124635671,0.4209977944799591,2.4542182757381124,1.3617647700892583,2022-07-28,09:56:34,-19.85014,-43.98422,B4,,,,"sem nuvens, sem vento",,0.35,35,7.94,7.64,316.8,0.366,28.46,9.2,8.3,94.3,0.52,0.17,345.8,225.0,20.53,7.89,20.615,0.418,4674,696.4,166,80.207
8381,-19.8500945277778,-43.9849853611111,29.3,2022-07-28, _Pampulha_2022-07-28_0001SET_ignore_DJI_1511.TIF,0.1068502117792043,0.2622337425150109,0.1925690458990377,0.3622826527762824,0.4507449566600262,0001SET_ignore_DJI_1511.T,267.78530278811496,195.9964476547307,14455603060.085026,inf,2738353400.8375,-0.3268794980299938,5.421527703802796,0.6995045646313401,0.3058720145985444,0.4013217646965252,2.3406926827499985,1.8813130172864028,2.974294742094882,6.598620124635671,0.4209977944799591,2.4542182757381124,1.3617647700892583,2022-07-28,09:58:32,-19.85097,-43.98486,B5,,,,"sem nuvens, sem vento",,0.35,35,8.2,15.16,319.6,0.408,27.4,8.85,8.61,92.3,0.58,0.17,347.0,226.0,39.83,7.9,20.868,0.433,4674,696.5,167,98.227
8384,-19.8500945277778,-43.9849853611111,29.3,2022-07-28, _Pampulha_2022-07-28_0001SET_ignore_DJI_1511.TIF,0.1068502117792043,0.2622337425150109,0.1925690458990377,0.3622826527762824,0.4507449566600262,0001SET_ignore_DJI_1511.T,267.78530278811496,195.9964476547307,14455603060.085026,inf,2738353400.8375,-0.3268794980299938,5.421527703802796,0.6995045646313401,0.3058720145985444,0.4013217646965252,2.3406926827499985,1.8813130172864028,2.974294742094882,6.598620124635671,0.4209977944799591,2.4542182757381124,1.3617647700892583,2022-07-28,10:02:45,-19.85076,-43.98491,B2,,,,"sem nuvens, sem vento",,0.2,20,16.09,7.8,334.9,0.293,28.63,9.25,5.24,95.4,0.417,0.18,379.5,247.0,50.37,7.43,18.849,0.518,4674,696.4,170,74.416
8385,-19.8500945277778,-43.9849853611111,29.3,2022-07-28, _Pampulha_2022-07-28_0001SET_ignore_DJI_1511.TIF,0.1068502117792043,0.2622337425150109,0.1925690458990377,0.3622826527762824,0.4507449566600262,0001SET_ignore_DJI_1511.T,267.78530278811496,195.9964476547307,14455603060.085026,inf,2738353400.8375,-0.3268794980299938,5.421527703802796,0.6995045646313401,0.3058720145985444,0.4013217646965252,2.3406926827499985,1.8813130172864028,2.974294742094882,6.598620124635671,0.4209977944799591,2.4542182757381124,1.3617647700892583,2022-07-28,10:04:15,-19.84971,-43.98428,B1,,,,"sem nuvens, sem vento",,0.25,25,14.23,8.97,327.8,0.205,31.91,10.32,6.54,96.7,0.29,0.18,370.1,241.0,37.81,7.47,19.011,0.416,4674,696.3,171,85.268
8414,-19.8503432222222,-43.9847771666667,29.3,2022-07-28, _Pampulha_2022-07-28_0001SET_ignore_DJI_1521.TIF,0.0999265022446469,0.265542606163997,0.1923395917069315,0.3795416268246416,0.4719714854688793,0001SET_ignore_DJI_1521.T,205.05400372078023,152.73634310551853,68885940129.10646,inf,3573148757.59305,-0.3480160521028064,5.732877833449438,0.7651314087243771,0.3273442614506404,0.4209351663241089,2.453844688346973,1.9732891364506508,3.479656063309805,7.372598070946905,0.4531603358776055,2.65737917568532,1.3805925436745503,2022-07-28,09:56:34,-19.85014,-43.98422,B4,,,,"sem nuvens, sem vento",,0.35,35,7.94,7.64,316.8,0.366,28.46,9.2,8.3,94.3,0.52,0.17,345.8,225.0,20.53,7.89,20.615,0.418,4674,696.4,166,62.501
8415,-19.8503432222222,-43.9847771666667,29.3,2022-07-28, _Pampulha_2022-07-28_0001SET_ignore_DJI_1521.TIF,0.0999265022446469,0.265542606163997,0.1923395917069315,0.3795416268246416,0.4719714854688793,0001SET_ignore_DJI_1521.T,205.05400372078023,152.73634310551853,68885940129.10646,inf,3573148757.59305,-0.3480160521028064,5.732877833449438,0.7651314087243771,0.3273442614506404,0.4209351663241089,2.453844688346973,1.9732891364506508,3.479656063309805,7.372598070946905,0.4531603358776055,2.65737917568532,1.3805925436745503,2022-07-28,09:58:32,-19.85097,-43.98486,B5,,,,"sem nuvens, sem vento",,0.35,35,8.2,15.16,319.6,0.408,27.4,8.85,8.61,92.3,0.58,0.17,347.0,226.0,39.83,7.9,20.868,0.433,4674,696.5,167,70.231
8418,-19.8503432222222,-43.9847771666667,29.3,2022-07-28, _Pampulha_2022-07-28_0001SET_ignore_DJI_1521.TIF,0.0999265022446469,0.265542606163997,0.1923395917069315,0.3795416268246416,0.4719714854688793,0001SET_ignore_DJI_1521.T,205.05400372078023,152.73634310551853,68885940129.10646,inf,3573148757.59305,-0.3480160521028064,5.732877833449438,0.7651314087243771,0.3273442614506404,0.4209351663241089,2.453844688346973,1.9732891364506508,3.479656063309805,7.372598070946905,0.4531603358776055,2.65737917568532,1.3805925436745503,2022-07-28,10:02:45,-19.85076,-43.98491,B2,,,,"sem nuvens, sem vento",,0.2,20,16.09,7.8,334.9,0.293,28.63,9.25,5.24,95.4,0.417,0.18,379.5,247.0,50.37,7.43,18.849,0.518,4674,696.4,170,48.381
