,lat_d,long_d,Altitude,Gimbal Degree,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,R^2/NIR,R^2/RE,R^2/B,R/B,MLR,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,date,time,lat_p,long_p,spot,northing,easting,alt,obs,medicao,secchi_m,secchi_cm,chl_rfu,pc_rfu,cond_uscm,depth_m,fdom_qsu,fdom_rfu,od_mgl,orp_mv,press_psi,sal_psu,cond_uscm.1,sdt_mgl,turb_fnu,ph,temp_c,vertical_position_m,epsg,press_mmhg,id,Distance
5499,-19.8595423611111,-43.9770949444444,852.503,90.0,2022-09-14, _Campo2022-09-14-Pampulha_0000SET_000_DJI_2081.TIF,0.0645701294418939,0.1386197625906274,0.1795356227040886,0.0287652353528143,0.1143144503004224,0000SET_000_DJI_2081.T,3.782374549281065e+26,71833914.41617514,411092083142254.5,inf,5.815328452978696e+21,-0.8293586074138029,4.996255343327735,-0.3209863037538664,-0.7238106878565396,-0.2219539091374157,0.636722944330864,0.1602202110063989,-2.203656693785599,-19.277149021793058,0.3644356144294893,2.146809427033441,0.7721017172124169,2022-09-14,10:05:15,-19.85881,-43.97762,P5,,,,,,0.5,50.0,4.83,12.48,341.2,0.359,26.44,8.54,10.56,116.0,0.51,0.16,345.7,225.0,16.27,8.54,24.307,0.485,4674,694.2,228,98.219
5779,-19.86088375,-43.9761449722222,852.579,90.0,2022-09-14, _Campo2022-09-14-Pampulha_0000SET_000_DJI_2171.TIF,0.0642444470774156,0.1416798802069145,0.1734190148906006,0.0290045342327478,0.1129459697336335,0000SET_000_DJI_2171.T,3.918001446505962e+24,26238964.399678383,50612501680301.484,inf,1.5150786218630376e+21,-0.7705721352512612,5.098716548584234,-0.2936663479952465,-0.7134272730780582,-0.2111747189912878,0.6512894206260148,0.1672511762971608,-2.1360138911813533,-18.911820370561507,0.3760382959638367,2.2053249214860227,0.8169800773940021,2022-09-14,10:08:02,-19.86159,-43.97565,A25,,,,Ponto Tiago,,0.6,60.0,2.65,8.52,340.3,0.255,27.5,8.88,8.69,123.9,0.361,0.17,348.7,227.0,17.31,8.3,23.75,0.36,4674,694.1,229,94.057
5810,-19.8609720833333,-43.9760818333333,852.568,90.0,2022-09-14, _Campo2022-09-14-Pampulha_0000SET_000_DJI_2181.TIF,0.0641851047798311,0.1412059827250359,0.1730315579253707,0.0296774789884826,0.0582101487047559,0000SET_000_DJI_2181.T,8.474796456235083e+23,214207512683971.9,45258812258382.914,inf,324242711460.2408,-0.77083457120575,5.089692876990926,-0.5590379339994193,-0.7071913572250372,-0.4965428204708451,0.3364134808857364,0.1715148343129559,-1.0545144320488191,-18.115645733828245,0.3749962030040845,2.199980559499018,0.8160706891741603,2022-09-14,10:08:02,-19.86159,-43.97565,A25,,,,Ponto Tiago,,0.6,60.0,2.65,8.52,340.3,0.255,27.5,8.88,8.69,123.9,0.361,0.17,348.7,227.0,17.31,8.3,23.75,0.36,4674,694.1,229,82.222
5841,-19.8610990833333,-43.97599125,852.617,90.0,2022-09-14, _Campo2022-09-14-Pampulha_0000SET_000_DJI_2191.TIF,0.063741173444079,0.1399578879853997,0.1718868118016868,0.0292981960219343,0.0578155259073774,0000SET_000_DJI_2191.T,8.284134055388607e+23,173127985198972.38,37107832736000.734,inf,297273552063.9894,-0.7727012740352974,5.083478975089702,-0.5599990745848442,-0.7087437444879588,-0.4966048105212995,0.336358126032855,0.1704505174936683,-1.0663118429934884,-18.443347634712502,0.3741633074127207,2.1957218611324545,0.8142444816934247,2022-09-14,10:08:02,-19.86159,-43.97565,A25,,,,Ponto Tiago,,0.6,60.0,2.65,8.52,340.3,0.255,27.5,8.88,8.69,123.9,0.361,0.17,348.7,227.0,17.31,8.3,23.75,0.36,4674,694.1,229,65.218
5872,-19.8611806944444,-43.97593275,852.482,90.0,2022-09-14, _Campo2022-09-14-Pampulha_0000SET_000_DJI_2201.TIF,0.0636480059698594,0.1397277684404173,0.1719185939069165,0.0285238896724994,0.111666203270665,0000SET_000_DJI_2201.T,3.77237783091466e+24,23696576.14379826,39296539504582.04,inf,9.891343423025548e+20,-0.774868082024983,5.083021888312483,-0.2962613950012667,-0.7153907778118488,-0.2124669278322466,0.6495295286740507,0.1659150940237642,-2.160397203144417,-19.34692091131533,0.3740846848213085,2.1953204395214767,0.8127554167647009,2022-09-14,10:08:02,-19.86159,-43.97565,A25,,,,Ponto Tiago,,0.6,60.0,2.65,8.52,340.3,0.255,27.5,8.88,8.69,123.9,0.361,0.17,348.7,227.0,17.31,8.3,23.75,0.36,4674,694.1,229,54.275
5903,-19.8612376388889,-43.9758920833333,852.359,89.9,2022-09-14, _Campo2022-09-14-Pampulha_0000SET_000_DJI_2211.TIF,0.0637385544664481,0.1394091766245279,0.1720725697240336,0.0292876976409028,0.05763095135129,0000SET_000_DJI_2211.T,9.518403548685735e+23,206470731839085.7,39752937268883.0,inf,283454594990.3143,-0.7770938605380516,5.068792072674628,-0.5633418486052054,-0.7091015221208156,-0.4982144715805914,0.3349223612090952,0.1702054992720443,-1.0635756218339678,-18.45493778769906,0.3724906094284266,2.187203299345496,0.8101766414490668,2022-09-14,10:08:02,-19.86159,-43.97565,A25,,,,Ponto Tiago,,0.6,60.0,2.65,8.52,340.3,0.255,27.5,8.88,8.69,123.9,0.361,0.17,348.7,227.0,17.31,8.3,23.75,0.36,4674,694.1,229,46.649
5934,-19.8613050833333,-43.9758440833333,852.222,90.0,2022-09-14, _Campo2022-09-14-Pampulha_0000SET_000_DJI_2221.TIF,0.0636807398768259,0.1384779675367702,0.1717352335433735,0.0295827221793108,0.0566859449124636,0000SET_000_DJI_2221.T,4.43038397629283e+23,313685148683106.25,36174166500794.99,inf,162176930877.22958,-0.7803009791998556,5.047033597520603,-0.5691038001916524,-0.7061094518557398,-0.5036717234744217,0.3300775486944383,0.172257734006804,-1.026025812220278,-18.10018010292856,0.3699926093557612,2.174565933194564,0.8063457025072036,2022-09-14,10:08:02,-19.86159,-43.97565,A25,,,,Ponto Tiago,,0.6,60.0,2.65,8.52,340.3,0.255,27.5,8.88,8.69,123.9,0.361,0.17,348.7,227.0,17.31,8.3,23.75,0.36,4674,694.1,229,37.626
5965,-19.861383,-43.9757887777778,852.169,90.0,2022-09-14, _Campo2022-09-14-Pampulha_0000SET_000_DJI_2231.TIF,0.0635037638650634,0.1362333668929819,0.1692716318593602,0.028477511316002,0.0587184234441777,0000SET_000_DJI_2231.T,7.318985096608646e+23,39452494900022.54,16176994609171.19,inf,477799930295.5327,-0.7763727081441268,4.996226221216307,-0.5534935241915678,-0.7119834669448011,-0.4849036431347668,0.3468887420720565,0.1682355809014863,-1.137277799466394,-19.36832995094936,0.3641266035608604,2.14528019445365,0.8048210169449526,2022-09-14,10:08:02,-19.86159,-43.97565,A25,,,,Ponto Tiago,,0.6,60.0,2.65,8.52,340.3,0.255,27.5,8.88,8.69,123.9,0.361,0.17,348.7,227.0,17.31,8.3,23.75,0.36,4674,694.1,229,27.211
5996,-19.8614366388889,-43.9757508333333,852.119,89.9,2022-09-14, _Campo2022-09-14-Pampulha_0000SET_000_DJI_2241.TIF,0.0634720420354419,0.141097544873975,0.1672799736966186,0.0281601901960966,0.0557754780394636,0000SET_000_DJI_2241.T,3.7050842049285925e+23,95195311324082.2,8060101054524.81,inf,137402281292.9062,-0.73571749071818,5.130805226330843,-0.5450687824213528,-0.7118280128791252,-0.4998958545478028,0.3334259134964883,0.1683416703972487,-1.1019090256369777,-19.756155650648637,0.3794576897342299,2.2229873240124856,0.8434813908440204,2022-09-14,10:08:02,-19.86159,-43.97565,A25,,,,Ponto Tiago,,0.6,60.0,2.65,8.52,340.3,0.255,27.5,8.88,8.69,123.9,0.361,0.17,348.7,227.0,17.31,8.3,23.75,0.36,4674,694.1,229,20.05
6027,-19.8615118333333,-43.975698,852.021,90.0,2022-09-14, _Campo2022-09-14-Pampulha_0000SET_000_DJI_2251.TIF,0.0639499070893988,0.1366071305230754,0.1668610672968414,0.0284916144326582,0.056718319755762,0000SET_000_DJI_2251.T,1.507002150379396e+23,47586599819244.52,5569556678205.071,inf,159879989609.74268,-0.7533366656146769,4.978999119616383,-0.5491841565485347,-0.7083058785739128,-0.4926337306540928,0.3399134422103487,0.1707505225408415,-1.1037842694441122,-19.46080691736252,0.3622771072938778,2.1361583892859364,0.8186878625201106,2022-09-14,10:08:02,-19.86159,-43.97565,A25,,,,Ponto Tiago,,0.6,60.0,2.65,8.52,340.3,0.255,27.5,8.88,8.69,123.9,0.361,0.17,348.7,227.0,17.31,8.3,23.75,0.36,4674,694.1,229,10.037
