,lat_d,long_d,Degree,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,date,time,lat_p,long_p,spot,northing,easting,alt,obs,medicao,secchi_m,secchi_cm,chl_rfu,pc_rfu,cond_uscm,depth_m,fdom_qsu,fdom_rfu,od_mgl,orp_mv,press_psi,sal_psu,cond_uscm.1,sdt_mgl,turb_fnu,ph,temp_c,vertical_position_m,epsg,press_mmhg,id,Distance
278,-19.8496933611111,-43.9842725,87.4,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2841.TIF,0.0291086575696607,0.1396177674872599,0.1274542999205404,0.057634407175678,0.1061614645651138,0000SET_000_DJI_2841.T,-0.7043920277543022,8.162434384979012,-0.1261973952701442,-0.3772239475883664,-0.0911446853867352,0.8329374892122015,0.4521966478307077,1.8050945686163735,17.00329376587702,0.654960299670419,4.796434433746624,1.0954339522032812,2022-08-24,10:04:55,-19.84971,-43.98428,B1,,,,,,0.3,30,12.32,9.09,334.6,0.141,33.2,10.74,6.91,121.9,0.201,0.18,369.5,240.0,31.66,7.67,20.055,0.395,4674,699.9,206,2.01
305,-19.8497307777778,-43.9842625833333,89.9,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2851.TIF,0.029078539641475,0.14037711460256,0.1327943737013153,0.0565580858243012,0.1051670938721065,0000SET_000_DJI_2851.T,-0.7388371983103069,8.187015902289158,-0.1630354558097096,-0.4026157783638427,-0.1160998043546043,0.7919544400928549,0.4259072447716284,1.7572038037057405,16.70868461804861,0.6568005975227162,4.827515973406683,1.0571013717666984,2022-08-24,09:57:21,-19.85014,-43.98422,B4,,,,,,0.4,40,7.06,10.15,332.0,0.187,29.12,9.41,7.36,115.5,0.266,0.17,358.8,233.0,22.77,7.82,21.091,0.364,4674,700.0,201,45.721
310,-19.8497307777778,-43.9842625833333,89.9,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2851.TIF,0.029078539641475,0.14037711460256,0.1327943737013153,0.0565580858243012,0.1051670938721065,0000SET_000_DJI_2851.T,-0.7388371983103069,8.187015902289158,-0.1630354558097096,-0.4026157783638427,-0.1160998043546043,0.7919544400928549,0.4259072447716284,1.7572038037057405,16.70868461804861,0.6568005975227162,4.827515973406683,1.0571013717666984,2022-08-24,10:04:55,-19.84971,-43.98428,B1,,,,,,0.3,30,12.32,9.09,334.6,0.141,33.2,10.74,6.91,121.9,0.201,0.18,369.5,240.0,31.66,7.67,20.055,0.395,4674,699.9,206,2.942
337,-19.8498956388889,-43.9842408333333,90.0,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2861.TIF,0.0307670650204028,0.1429042670188817,0.138596680391869,0.065401751653345,0.1144156488494314,0000SET_000_DJI_2861.T,-0.7545584020749979,8.032069622158444,-0.1392344450779467,-0.3588014280536292,-0.095572542314236,0.8255295042127414,0.4718854121789045,1.969342443173517,17.212177381130186,0.6456863126558702,4.64471560495343,1.0310800129904512,2022-08-24,09:57:21,-19.85014,-43.98422,B4,,,,,,0.4,40,7.06,10.15,332.0,0.187,29.12,9.41,7.36,115.5,0.266,0.17,358.8,233.0,22.77,7.82,21.091,0.364,4674,700.0,201,27.259
342,-19.8498956388889,-43.9842408333333,90.0,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2861.TIF,0.0307670650204028,0.1429042670188817,0.138596680391869,0.065401751653345,0.1144156488494314,0000SET_000_DJI_2861.T,-0.7545584020749979,8.032069622158444,-0.1392344450779467,-0.3588014280536292,-0.095572542314236,0.8255295042127414,0.4718854121789045,1.969342443173517,17.212177381130186,0.6456863126558702,4.64471560495343,1.0310800129904512,2022-08-24,10:04:55,-19.84971,-43.98428,B1,,,,,,0.3,30,12.32,9.09,334.6,0.141,33.2,10.74,6.91,121.9,0.201,0.18,369.5,240.0,31.66,7.67,20.055,0.395,4674,699.9,206,21.045
369,-19.8501220555556,-43.98420975,89.9,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2871.TIF,0.0581410157607028,0.1468124423768044,0.1364917569741542,0.0407155581875584,0.1030103108700331,0000SET_000_DJI_2871.T,-0.5336791619633896,5.626536851215072,-0.1633612158017736,-0.5404754239360497,-0.1397960627459095,0.7546998672567379,0.298300491474135,-0.7582665199224473,-7.361073988788785,0.4326417686331999,2.525109691599749,1.07561398308181,2022-08-24,09:57:21,-19.85014,-43.98422,B4,,,,,,0.4,40,7.06,10.15,332.0,0.187,29.12,9.41,7.36,115.5,0.266,0.17,358.8,233.0,22.77,7.82,21.091,0.364,4674,700.0,201,2.265
374,-19.8501220555556,-43.98420975,89.9,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2871.TIF,0.0581410157607028,0.1468124423768044,0.1364917569741542,0.0407155581875584,0.1030103108700331,0000SET_000_DJI_2871.T,-0.5336791619633896,5.626536851215072,-0.1633612158017736,-0.5404754239360497,-0.1397960627459095,0.7546998672567379,0.298300491474135,-0.7582665199224473,-7.361073988788785,0.4326417686331999,2.525109691599749,1.07561398308181,2022-08-24,10:04:55,-19.84971,-43.98428,B1,,,,,,0.3,30,12.32,9.09,334.6,0.141,33.2,10.74,6.91,121.9,0.201,0.18,369.5,240.0,31.66,7.67,20.055,0.395,4674,699.9,206,46.404
401,-19.8501232222222,-43.9842111388889,89.9,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2881.TIF,0.030594101636221,0.1469879148416937,0.1365557645458733,0.0407408658266157,0.1031724768849152,0000SET_000_DJI_2881.T,-0.720886904367432,8.160784749107542,-0.1879879974507996,-0.5404214311234035,-0.1392547138447854,0.7555336622223399,0.2983459977841476,0.8398920392152744,8.140659840435358,0.6554369384579447,4.804452720640492,1.0763947998131995,2022-08-24,09:57:21,-19.85014,-43.98422,B4,,,,,,0.4,40,7.06,10.15,332.0,0.187,29.12,9.41,7.36,115.5,0.266,0.17,358.8,233.0,22.77,7.82,21.091,0.364,4674,700.0,201,2.083
406,-19.8501232222222,-43.9842111388889,89.9,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2881.TIF,0.030594101636221,0.1469879148416937,0.1365557645458733,0.0407408658266157,0.1031724768849152,0000SET_000_DJI_2881.T,-0.720886904367432,8.160784749107542,-0.1879879974507996,-0.5404214311234035,-0.1392547138447854,0.7555336622223399,0.2983459977841476,0.8398920392152744,8.140659840435358,0.6554369384579447,4.804452720640492,1.0763947998131995,2022-08-24,10:04:55,-19.84971,-43.98428,B1,,,,,,0.3,30,12.32,9.09,334.6,0.141,33.2,10.74,6.91,121.9,0.201,0.18,369.5,240.0,31.66,7.67,20.055,0.395,4674,699.9,206,46.509
433,-19.8501690277778,-43.9842617777778,89.9,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2891.TIF,0.0583536398789468,0.1458325503289507,0.1363658821695401,0.0762770500234605,0.0968789381175297,0000SET_000_DJI_2891.T,-0.5349439621992697,5.586840402516436,-0.1933869475296332,-0.2825809046478973,-0.1692939804768706,0.7104338458873656,0.5593558213382674,0.3901109793886652,4.026788350171612,0.4284271642510933,2.499116604062348,1.0694210898561924,2022-08-24,09:57:21,-19.85014,-43.98422,B4,,,,,,0.4,40,7.06,10.15,332.0,0.187,29.12,9.41,7.36,115.5,0.266,0.17,358.8,233.0,22.77,7.82,21.091,0.364,4674,700.0,201,5.432
437,-19.8501690277778,-43.9842617777778,89.9,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2891.TIF,0.0583536398789468,0.1458325503289507,0.1363658821695401,0.0762770500234605,0.0968789381175297,0000SET_000_DJI_2891.T,-0.5349439621992697,5.586840402516436,-0.1933869475296332,-0.2825809046478973,-0.1692939804768706,0.7104338458873656,0.5593558213382674,0.3901109793886652,4.026788350171612,0.4284271642510933,2.499116604062348,1.0694210898561924,2022-08-24,10:03:26,-19.85076,-43.98491,B2,,,,,,0.3,30,15.2,9.02,336.0,0.157,32.9,10.64,6.68,119.8,0.223,0.18,372.5,242.0,67.8,7.65,19.877,0.442,4674,700.0,205,94.417
438,-19.8501690277778,-43.9842617777778,89.9,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2891.TIF,0.0583536398789468,0.1458325503289507,0.1363658821695401,0.0762770500234605,0.0968789381175297,0000SET_000_DJI_2891.T,-0.5349439621992697,5.586840402516436,-0.1933869475296332,-0.2825809046478973,-0.1692939804768706,0.7104338458873656,0.5593558213382674,0.3901109793886652,4.026788350171612,0.4284271642510933,2.499116604062348,1.0694210898561924,2022-08-24,10:04:55,-19.84971,-43.98428,B1,,,,,,0.3,30,12.32,9.09,334.6,0.141,33.2,10.74,6.91,121.9,0.201,0.18,369.5,240.0,31.66,7.67,20.055,0.395,4674,699.9,206,51.077
465,-19.8502684444444,-43.9843695833333,90.0,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2901.TIF,0.0548687346147869,0.1408079989675466,0.1278965084140864,0.0693894280790689,0.1091051575236114,0000SET_000_DJI_2901.T,-0.5186337021672394,5.696924325012659,-0.0960326276223754,-0.2965598124985831,-0.0792878430458577,0.8530737772009003,0.5425435685422231,0.4161159716946913,3.813898271533496,0.4391899986239276,2.566270207543649,1.1009526429889476,2022-08-24,09:57:21,-19.85014,-43.98422,B4,,,,,,0.4,40,7.06,10.15,332.0,0.187,29.12,9.41,7.36,115.5,0.266,0.17,358.8,233.0,22.77,7.82,21.091,0.364,4674,700.0,201,21.184
466,-19.8502684444444,-43.9843695833333,90.0,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2901.TIF,0.0548687346147869,0.1408079989675466,0.1278965084140864,0.0693894280790689,0.1091051575236114,0000SET_000_DJI_2901.T,-0.5186337021672394,5.696924325012659,-0.0960326276223754,-0.2965598124985831,-0.0792878430458577,0.8530737772009003,0.5425435685422231,0.4161159716946913,3.813898271533496,0.4391899986239276,2.566270207543649,1.1009526429889476,2022-08-24,09:59:02,-19.85097,-43.98486,B5,,,,,,0.3,30,5.72,7.07,330.9,0.168,28.84,9.32,7.54,114.0,0.238,0.17,357.4,232.0,36.41,7.85,21.117,0.326,4674,699.9,202,93.361
469,-19.8502684444444,-43.9843695833333,90.0,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2901.TIF,0.0548687346147869,0.1408079989675466,0.1278965084140864,0.0693894280790689,0.1091051575236114,0000SET_000_DJI_2901.T,-0.5186337021672394,5.696924325012659,-0.0960326276223754,-0.2965598124985831,-0.0792878430458577,0.8530737772009003,0.5425435685422231,0.4161159716946913,3.813898271533496,0.4391899986239276,2.566270207543649,1.1009526429889476,2022-08-24,10:03:26,-19.85076,-43.98491,B2,,,,,,0.3,30,15.2,9.02,336.0,0.157,32.9,10.64,6.68,119.8,0.223,0.18,372.5,242.0,67.8,7.65,19.877,0.442,4674,700.0,205,78.627
470,-19.8502684444444,-43.9843695833333,90.0,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2901.TIF,0.0548687346147869,0.1408079989675466,0.1278965084140864,0.0693894280790689,0.1091051575236114,0000SET_000_DJI_2901.T,-0.5186337021672394,5.696924325012659,-0.0960326276223754,-0.2965598124985831,-0.0792878430458577,0.8530737772009003,0.5425435685422231,0.4161159716946913,3.813898271533496,0.4391899986239276,2.566270207543649,1.1009526429889476,2022-08-24,10:04:55,-19.84971,-43.98428,B1,,,,,,0.3,30,12.32,9.09,334.6,0.141,33.2,10.74,6.91,121.9,0.201,0.18,369.5,240.0,31.66,7.67,20.055,0.395,4674,699.9,206,62.799
497,-19.8503784444444,-43.9844898888889,90.0,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2911.TIF,0.0547879661955627,0.1360866535622225,0.127283114664948,0.0451909700055368,0.1400184210530562,0000SET_000_DJI_2911.T,-0.5327131395455951,5.573809940083077,0.0667207950657294,-0.4759679972573845,0.0476439701474203,1.1000549556131765,0.3550429302778664,-0.5427297843813768,-3.8761312997217994,0.4259271739208998,2.4838785414386164,1.0691650178458345,2022-08-24,09:57:21,-19.85014,-43.98422,B4,,,,,,0.4,40,7.06,10.15,332.0,0.187,29.12,9.41,7.36,115.5,0.266,0.17,358.8,233.0,22.77,7.82,21.091,0.364,4674,700.0,201,38.727
498,-19.8503784444444,-43.9844898888889,90.0,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2911.TIF,0.0547879661955627,0.1360866535622225,0.127283114664948,0.0451909700055368,0.1400184210530562,0000SET_000_DJI_2911.T,-0.5327131395455951,5.573809940083077,0.0667207950657294,-0.4759679972573845,0.0476439701474203,1.1000549556131765,0.3550429302778664,-0.5427297843813768,-3.8761312997217994,0.4259271739208998,2.4838785414386164,1.0691650178458345,2022-08-24,09:59:02,-19.85097,-43.98486,B5,,,,,,0.3,30,5.72,7.07,330.9,0.168,28.84,9.32,7.54,114.0,0.238,0.17,357.4,232.0,36.41,7.85,21.117,0.326,4674,699.9,202,76.323
