,lat_d,long_d,Degree,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,date,time,lat_p,long_p,spot,northing,easting,alt,obs,medicao,secchi_m,secchi_cm,chl_rfu,pc_rfu,cond_uscm,depth_m,fdom_qsu,fdom_rfu,od_mgl,orp_mv,press_psi,sal_psu,cond_uscm.1,sdt_mgl,turb_fnu,ph,temp_c,vertical_position_m,epsg,press_mmhg,id,Distance
3208,-19.8495054444444,-43.9752843888889,89.9,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_3761.TIF,0.0269642228945411,0.1234827073994693,0.0597254194279503,0.0144449485064858,0.0501796439261764,0000SET_000_DJI_3761.T,-0.265309995410337,7.999730115151506,-0.0634494534592304,-0.610492736957848,-0.0868547381754043,0.8401723153524365,0.2418559575611092,-1.612882860386966,-32.142174280068964,0.6415450572258754,4.57950180438793,2.067506743061596,2022-08-24,09:30:12,-19.84952,-43.9753,A21,,,,,,0.8,80,5.12,3.61,321.4,0.28,30.13,9.74,6.32,84.6,0.398,0.17,349.1,227.0,11.57,7.79,20.847,0.379,4674,700.0,192,2.299
3240,-19.8495121666667,-43.9752855833333,90.0,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_3771.TIF,0.0269860722536344,0.1235217844147333,0.0598392247525005,0.0145810022088292,0.0504139509065403,0000SET_000_DJI_3771.T,-0.265970514063813,7.997734809230965,-0.0626231351279425,-0.6081441080149946,-0.0854875498108822,0.8424900408562471,0.2436696375853349,-1.5893622749298304,-31.52623919272392,0.6413998199031417,4.577242040034106,2.064227685529493,2022-08-24,09:30:12,-19.84952,-43.9753,A21,,,,,,0.8,80,5.12,3.61,321.4,0.28,30.13,9.74,6.32,84.6,0.398,0.17,349.1,227.0,11.57,7.79,20.847,0.379,4674,700.0,192,1.741
3272,-19.8495689444444,-43.9752838055556,90.0,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_3781.TIF,0.0269237205953213,0.1237209495874873,0.0599178529922978,0.0146546482231986,0.050680340603888,0000SET_000_DJI_3781.T,-0.2666818554738397,8.01293868391268,-0.0613198752879872,-0.6069691110172039,-0.0835231759945162,0.8458303839825962,0.2445789942620673,-1.575943997332178,-31.09576570626437,0.6425532936193609,4.595239693914631,2.064842837466008,2022-08-24,09:30:12,-19.84952,-43.9753,A21,,,,,,0.8,80,5.12,3.61,321.4,0.28,30.13,9.74,6.32,84.6,0.398,0.17,349.1,227.0,11.57,7.79,20.847,0.379,4674,700.0,192,5.7
3304,-19.8496705555556,-43.9752752222222,89.9,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_3791.TIF,0.0268994979187847,0.1253687765441127,0.0603415978141166,0.0148096814313102,0.0517984546939038,0000SET_000_DJI_3791.T,-0.266749830517528,8.066498127008153,-0.0561058641423986,-0.6058701440611494,-0.0761827993579883,0.8584203363899958,0.2454307139318997,-1.571978572083004,-30.34798202711656,0.6466828298453045,4.660636303422007,2.0776509254911266,2022-08-24,09:30:12,-19.84952,-43.9753,A21,,,,,,0.8,80,5.12,3.61,321.4,0.28,30.13,9.74,6.32,84.6,0.398,0.17,349.1,227.0,11.57,7.79,20.847,0.379,4674,700.0,192,16.94
3336,-19.8497673888889,-43.9752724722222,89.9,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_3801.TIF,0.0268926257681735,0.1269663255293575,0.0607907295836614,0.014987894546799,0.0505030553150276,0000SET_000_DJI_3801.T,-0.266984995227336,8.115368289814032,-0.0668643207423115,-0.604429488690746,-0.0924370959079044,0.8307690277927048,0.2465490157701161,-1.491637902140304,-29.535597259131663,0.6504249438673374,4.721232007014272,2.0885803871563007,2022-08-24,09:30:12,-19.84952,-43.9753,A21,,,,,,0.8,80,5.12,3.61,321.4,0.28,30.13,9.74,6.32,84.6,0.398,0.17,349.1,227.0,11.57,7.79,20.847,0.379,4674,700.0,192,27.659
3367,-19.8498444722222,-43.9752720277778,89.9,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_3811.TIF,0.0269169089010519,0.1223339551504896,0.0611076532092891,0.0151015977394368,0.0510926329298973,0000SET_000_DJI_3811.T,-0.2794869524669362,7.971319981823619,-0.0671019249572536,-0.6036807198223938,-0.0892602026608737,0.8361085763661859,0.2471310375431203,-1.4850988593520558,-29.06679053690023,0.6393064914953315,4.54487384120503,2.0019416345691603,2022-08-24,09:28:09,-19.85051,-43.97588,P9,,,,,,0.8,80,2.86,3.88,321.6,0.212,29.99,9.69,7.15,83.2,0.301,0.17,348.4,226.0,13.22,7.85,20.962,0.409,4674,700.0,191,97.569
3368,-19.8498444722222,-43.9752720277778,89.9,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_3811.TIF,0.0269169089010519,0.1223339551504896,0.0611076532092891,0.0151015977394368,0.0510926329298973,0000SET_000_DJI_3811.T,-0.2794869524669362,7.971319981823619,-0.0671019249572536,-0.6036807198223938,-0.0892602026608737,0.8361085763661859,0.2471310375431203,-1.4850988593520558,-29.06679053690023,0.6393064914953315,4.54487384120503,2.0019416345691603,2022-08-24,09:30:12,-19.84952,-43.9753,A21,,,,,,0.8,80,5.12,3.61,321.4,0.28,30.13,9.74,6.32,84.6,0.398,0.17,349.1,227.0,11.57,7.79,20.847,0.379,4674,700.0,192,36.198
3399,-19.8499548888889,-43.9752694722222,89.9,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_3821.TIF,0.0269818166487927,0.1229752517194835,0.0612623757591147,0.0151354875919101,0.0512154152684857,0000SET_000_DJI_3821.T,-0.2787598206224349,7.981594138696241,-0.0669989124217532,-0.6037719661774528,-0.0893239491888992,0.8360011284881618,0.2470600822178892,-1.4856512996651547,-29.00789326566914,0.6401394486783556,4.5577083752433705,2.0073536195041712,2022-08-24,09:28:09,-19.85051,-43.97588,P9,,,,,,0.8,80,2.86,3.88,321.6,0.212,29.99,9.69,7.15,83.2,0.301,0.17,348.4,226.0,13.22,7.85,20.962,0.409,4674,700.0,191,88.811
3400,-19.8499548888889,-43.9752694722222,89.9,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_3821.TIF,0.0269818166487927,0.1229752517194835,0.0612623757591147,0.0151354875919101,0.0512154152684857,0000SET_000_DJI_3821.T,-0.2787598206224349,7.981594138696241,-0.0669989124217532,-0.6037719661774528,-0.0893239491888992,0.8360011284881618,0.2470600822178892,-1.4856512996651547,-29.00789326566914,0.6401394486783556,4.5577083752433705,2.0073536195041712,2022-08-24,09:30:12,-19.84952,-43.9753,A21,,,,,,0.8,80,5.12,3.61,321.4,0.28,30.13,9.74,6.32,84.6,0.398,0.17,349.1,227.0,11.57,7.79,20.847,0.379,4674,700.0,192,48.463
3431,-19.8502129444444,-43.9752625555556,89.9,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_3831.TIF,0.0262478002113555,0.1256486894813404,0.058981886381638,0.0159384266182057,0.0489376950444818,0000SET_000_DJI_3831.T,-0.2605207129927425,8.171558612065901,-0.0661252367153234,-0.5745232239422452,-0.0930710738906294,0.8297071871834347,0.2702257861859024,-1.2059725685881688,-24.64301940440805,0.6543988572157549,4.78701790129374,2.130292826993353,2022-08-24,09:28:09,-19.85051,-43.97588,P9,,,,,,0.8,80,2.86,3.88,321.6,0.212,29.99,9.69,7.15,83.2,0.301,0.17,348.4,226.0,13.22,7.85,20.962,0.409,4674,700.0,191,72.535
