,lat_d,long_d,Altitude,DateTime,Image Index,Degree,Image Index.1,Blue,Green,Red,Near-IR,RedEdge,Image,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,region,season,obs,campanha,station,spot,date,time,lat_utm,lon_utm,lat_p,long_p,depth_m,secchi_cm,temp_c,ph,orp_mv,cond_uscm,od_mgl,chl_rfu,chl_ugl,pc_rfu,pc_ugl,fdom_rfu,fdom_ugl,turb_unt,tss_mgl,sdt_mgl,alt_m,ref,total_depth_m,photiczone_m,perfil_vertical,od_pct,odo_local_pct,st_mgl,ecoli,ct,dqo_mgl,dbo_mgl,color_r_uh,color_a_uh,solar_elev,total_hardness,c_total_mgl,c_org_mgl,c_inorg_mgl,n_total_mgl,nitrato_mgl,nitrito_mgl,chloride_mgl,phosphate_mgl,sulfate_mgl,lithium_mgl,sodium_mgl,amonio_mgl,potassium_mgl,calcium_mgl,magnesium,chla_mgl,chlb_ugl,chlc_ugl,feof_ugl,caroten_mgl,press_mmhg,id,Distance
51361,-18.3072728333333,-45.1895448611111,686.816,2022-03-25, _Campo2022-03-TM_0005SET_000_DJI_8521.TIF,90.0, _Campo2022-03-TM_0005SET_000_DJI_8521.TIF,0.0358553078611088,0.0530502076199874,0.0697775113392793,0.1315482007156836,0.1650438280424894,0005SET_000_DJI_8521.T,-0.6394358288126631,3.6833264706925046,1.0715456311983973,0.3068196741782321,0.4056970160975348,2.365286821996224,1.8852521133357216,3.348425216164737,20.288097142915927,0.1934064457737126,1.4795635788566022,0.7602765791121625,,Chuvoso,Transecto (MD),Campanha 11,,,2022-03-25,09:06:46,,,-18.30764,-45.18927,0.727,190,28.262,7.57,140.3,65.1,7.2,0.85,,0.05,,4.82,14.99,2.13,-138,40,565.5,,,,,92.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.0,1528,50.088
51525,-18.3070488611111,-45.1894336666667,686.961,2022-03-25, _Campo2022-03-TM_0005SET_000_DJI_8531.TIF,89.9, _Campo2022-03-TM_0005SET_000_DJI_8531.TIF,0.0772546270358472,0.1514256436058028,0.1381968776788682,0.2963756675751284,0.403364405113947,0005SET_000_DJI_8531.T,-0.4024566063702411,4.623597987777464,1.1595557705570745,0.3639870756303961,0.4896353115710521,2.91876641418235,2.144590185777022,3.8602426737642217,9.570112347106424,0.3243437501706659,1.960085103194392,1.0957240579463352,,Chuvoso,Transecto (MD),Campanha 11,,,2022-03-25,09:06:46,,,-18.30764,-45.18927,0.727,190,28.262,7.57,140.3,65.1,7.2,0.85,,0.05,,4.82,14.99,2.13,-138,40,565.5,,,,,92.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.0,1528,67.964
52242,-18.30753825,-45.1917950833333,685.859,2022-03-25, _Campo2022-03-TM_0005SET_000_DJI_8631.TIF,89.9, _Campo2022-03-TM_0005SET_000_DJI_8631.TIF,0.0963741000071895,0.2504002102047132,0.1246410742883826,0.0134524113398959,0.0423364509580571,0005SET_000_DJI_8631.T,-0.1128871827147573,5.653553730159223,-0.2373434851042794,-0.8051695012448705,-0.4929083911673341,0.3396669292187186,0.1079291992362886,-2.7078344702647903,-63.95988348072571,0.4441681683496199,2.598210620758413,2.0089702502512226,,Chuvoso,Sonda em modo Log,Campanha 11,,,2022-03-25,07:37:42,,,-18.30806,-45.19254,0.066,,28.082,7.53,99.3,65.3,7.06,0.71,,0.14,,4.88,15.16,4.91,-69,40,567.1,,,,,90.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1425,97.723
52243,-18.30753825,-45.1917950833333,685.859,2022-03-25, _Campo2022-03-TM_0005SET_000_DJI_8631.TIF,89.9, _Campo2022-03-TM_0005SET_000_DJI_8631.TIF,0.0963741000071895,0.2504002102047132,0.1246410742883826,0.0134524113398959,0.0423364509580571,0005SET_000_DJI_8631.T,-0.1128871827147573,5.653553730159223,-0.2373434851042794,-0.8051695012448705,-0.4929083911673341,0.3396669292187186,0.1079291992362886,-2.7078344702647903,-63.95988348072571,0.4441681683496199,2.598210620758413,2.0089702502512226,,Chuvoso,Sonda em modo Log,Campanha 11,,,2022-03-25,07:37:47,,,-18.3081,-45.19242,0.064,,28.084,7.53,99.5,65.3,7.06,0.57,,0.13,,4.91,15.27,3.84,-92,40,567.4,,,,,90.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1426,90.85
52244,-18.30753825,-45.1917950833333,685.859,2022-03-25, _Campo2022-03-TM_0005SET_000_DJI_8631.TIF,89.9, _Campo2022-03-TM_0005SET_000_DJI_8631.TIF,0.0963741000071895,0.2504002102047132,0.1246410742883826,0.0134524113398959,0.0423364509580571,0005SET_000_DJI_8631.T,-0.1128871827147573,5.653553730159223,-0.2373434851042794,-0.8051695012448705,-0.4929083911673341,0.3396669292187186,0.1079291992362886,-2.7078344702647903,-63.95988348072571,0.4441681683496199,2.598210620758413,2.0089702502512226,,Chuvoso,Sonda em modo Log,Campanha 11,,,2022-03-25,07:37:52,,,-18.30814,-45.1923,0.063,,28.086,7.53,99.8,65.3,7.06,0.54,,0.14,,4.94,15.36,3.53,-99,40,567.6,,,,,90.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.6,1427,85.547
52245,-18.30753825,-45.1917950833333,685.859,2022-03-25, _Campo2022-03-TM_0005SET_000_DJI_8631.TIF,89.9, _Campo2022-03-TM_0005SET_000_DJI_8631.TIF,0.0963741000071895,0.2504002102047132,0.1246410742883826,0.0134524113398959,0.0423364509580571,0005SET_000_DJI_8631.T,-0.1128871827147573,5.653553730159223,-0.2373434851042794,-0.8051695012448705,-0.4929083911673341,0.3396669292187186,0.1079291992362886,-2.7078344702647903,-63.95988348072571,0.4441681683496199,2.598210620758413,2.0089702502512226,,Chuvoso,Sonda em modo Log,Campanha 11,,,2022-03-25,07:37:57,,,-18.30818,-45.19218,0.062,,28.083,7.53,100.1,65.2,7.06,0.52,,0.21,,4.92,15.3,4.09,-86,40,567.6,,,,,90.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1428,82.118
52246,-18.30753825,-45.1917950833333,685.859,2022-03-25, _Campo2022-03-TM_0005SET_000_DJI_8631.TIF,89.9, _Campo2022-03-TM_0005SET_000_DJI_8631.TIF,0.0963741000071895,0.2504002102047132,0.1246410742883826,0.0134524113398959,0.0423364509580571,0005SET_000_DJI_8631.T,-0.1128871827147573,5.653553730159223,-0.2373434851042794,-0.8051695012448705,-0.4929083911673341,0.3396669292187186,0.1079291992362886,-2.7078344702647903,-63.95988348072571,0.4441681683496199,2.598210620758413,2.0089702502512226,,Chuvoso,Sonda em modo Log,Campanha 11,,,2022-03-25,07:38:02,,,-18.30823,-45.19206,0.059,,28.081,7.53,100.4,65.2,7.07,0.6,,0.23,,4.91,15.26,4.9,-69,40,567.4,,,,,90.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.6,1429,81.845
52247,-18.30753825,-45.1917950833333,685.859,2022-03-25, _Campo2022-03-TM_0005SET_000_DJI_8631.TIF,89.9, _Campo2022-03-TM_0005SET_000_DJI_8631.TIF,0.0963741000071895,0.2504002102047132,0.1246410742883826,0.0134524113398959,0.0423364509580571,0005SET_000_DJI_8631.T,-0.1128871827147573,5.653553730159223,-0.2373434851042794,-0.8051695012448705,-0.4929083911673341,0.3396669292187186,0.1079291992362886,-2.7078344702647903,-63.95988348072571,0.4441681683496199,2.598210620758413,2.0089702502512226,,Chuvoso,Sonda em modo Log,Campanha 11,,,2022-03-25,07:38:07,,,-18.30827,-45.19194,0.058,,28.089,7.53,100.7,65.2,7.07,0.69,,0.07,,4.87,15.13,5.43,-60,40,567.2,,,,,90.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.6,1430,82.793
52248,-18.30753825,-45.1917950833333,685.859,2022-03-25, _Campo2022-03-TM_0005SET_000_DJI_8631.TIF,89.9, _Campo2022-03-TM_0005SET_000_DJI_8631.TIF,0.0963741000071895,0.2504002102047132,0.1246410742883826,0.0134524113398959,0.0423364509580571,0005SET_000_DJI_8631.T,-0.1128871827147573,5.653553730159223,-0.2373434851042794,-0.8051695012448705,-0.4929083911673341,0.3396669292187186,0.1079291992362886,-2.7078344702647903,-63.95988348072571,0.4441681683496199,2.598210620758413,2.0089702502512226,,Chuvoso,Sonda em modo Log,Campanha 11,,,2022-03-25,07:38:12,,,-18.3083,-45.19181,0.056,,28.094,7.52,101.1,65.1,7.07,0.66,,0.1,,4.84,15.05,5.29,-62,40,567.5,,,,,90.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1431,84.717
52249,-18.30753825,-45.1917950833333,685.859,2022-03-25, _Campo2022-03-TM_0005SET_000_DJI_8631.TIF,89.9, _Campo2022-03-TM_0005SET_000_DJI_8631.TIF,0.0963741000071895,0.2504002102047132,0.1246410742883826,0.0134524113398959,0.0423364509580571,0005SET_000_DJI_8631.T,-0.1128871827147573,5.653553730159223,-0.2373434851042794,-0.8051695012448705,-0.4929083911673341,0.3396669292187186,0.1079291992362886,-2.7078344702647903,-63.95988348072571,0.4441681683496199,2.598210620758413,2.0089702502512226,,Chuvoso,Sonda em modo Log,Campanha 11,,,2022-03-25,07:38:17,,,-18.30833,-45.19168,0.053,,28.096,7.52,101.5,65.1,7.08,0.55,,0.23,,4.85,15.09,5.03,-67,40,567.2,,,,,90.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.6,1432,88.873
