,lat_d,long_d,Altitude,Gimbal Degree,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,R^2/NIR,R^2/RE,R^2/B,MLR,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,region,season,obs,campanha,station,spot,date,time,lat_utm,lon_utm,lat_p,long_p,depth_m,secchi_cm,temp_c,ph,orp_mv,cond_uscm,od_mgl,chl_rfu,chl_ugl,pc_rfu,pc_ugl,fdom_rfu,fdom_ugl,turb_unt,tss_mgl,sdt_mgl,alt_m,ref,total_depth_m,photiczone_m,perfil_vertical,od_pct,odo_local_pct,st_mgl,ecoli,ct,dqo_mgl,dbo_mgl,color_r_uh,color_a_uh,solar_elev,total_hardness,c_total_mgl,c_org_mgl,c_inorg_mgl,n_total_mgl,nitrato_mgl,nitrito_mgl,chloride_mgl,phosphate_mgl,sulfate_mgl,lithium_mgl,sodium_mgl,amonio_mgl,potassium_mgl,calcium_mgl,magnesium,chla_mgl,chlb_ugl,chlc_ugl,feof_ugl,caroten_mgl,press_mmhg,id,Distance
86448,-18.3075212222222,-45.1780799444444,687.521,90.0,2022-03-25, _Campo2022-03-TM_0006SET_000_DJI_0801.TIF,0.0253712565123892,0.0661653207802116,0.0434106782511518,0.1379571808893088,0.0956926346077885,0006SET_000_DJI_0801.T,2.1085880809482243,3.537521003478273,149.43321110442125,1.7720987281176745e-11,-0.2726416425711299,5.881141717243974,0.5711591792373344,0.5212968994960421,0.375849829037889,2.204357049068901,3.177954974376574,3.078054621504699,32.16605576929297,0.4456586151066403,2.607885058743622,1.5241715505436977,,Chuvoso,,Campanha 11,,,2022-03-25,08:25:20,,,-18.30728,-45.17858,0.566,160,28.421,7.35,129.4,62.5,6.74,0.8,,-0.08,,4.55,14.14,2.59,-124,38,566.6,,,,,86.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.1,1519,59.213
86612,-18.3074253055556,-45.1781627777778,687.553,90.0,2022-03-25, _Campo2022-03-TM_0006SET_000_DJI_0811.TIF,0.0269453228094828,0.0736922593977459,0.0497687372657288,0.1333158997616474,0.0942868688331855,0006SET_000_DJI_0811.T,2.758499881608855,5.394488778644468,491.0048305126711,1.8982554616930224e-10,-0.3097125077012379,6.0512440543210495,0.4423609012762928,0.4563308197368083,0.3090343567531053,1.894499921301244,2.678707700575918,2.791948411919725,29.611211470595173,0.4645077471356948,2.734881297165665,1.4806937737697246,,Chuvoso,,Campanha 11,,,2022-03-25,08:25:20,,,-18.30728,-45.17858,0.566,160,28.421,7.35,129.4,62.5,6.74,0.8,,-0.08,,4.55,14.14,2.59,-124,38,566.6,,,,,86.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.1,1519,46.915
86776,-18.3073110555556,-45.1782609444444,687.558,90.0,2022-03-25, _Campo2022-03-TM_0006SET_000_DJI_0821.TIF,0.0242081677971957,0.0681654684885319,0.0436765686958743,0.1326348867443003,0.0824002027191805,0006SET_000_DJI_0821.T,2.193479095452413,4.416136212373543,202.73155643676748,1.2566892636495282e-12,-0.2856050333161569,6.178607949766269,0.4192065569826363,0.5045521167432653,0.3071432872898125,1.8865997302339372,3.036751528442046,2.7825623483104573,33.7688774600885,0.4758641367691609,2.8158045276118857,1.560687355345541,,Chuvoso,,Campanha 11,,,2022-03-25,08:25:20,,,-18.30728,-45.17858,0.566,160,28.421,7.35,129.4,62.5,6.74,0.8,,-0.08,,4.55,14.14,2.59,-124,38,566.6,,,,,86.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.1,1519,33.858
86940,-18.3071753888889,-45.1783773333333,687.612,90.0,2022-03-25, _Campo2022-03-TM_0006SET_000_DJI_0831.TIF,0.0284671344412363,0.0861780378500209,0.0551583482606189,0.0634192729551147,0.0441014680141266,0006SET_000_DJI_0831.T,13.735786566393012,83.5906516734885,1345.2102606859066,0.0004338214258766,-0.3097217630533012,6.426414957370714,-0.0964443598061171,0.0696668107337583,-0.1113933176733622,0.7995429414555817,1.1497674414662231,0.853811082434813,19.360151053505064,0.5033871226794397,3.0272817950087383,1.562375244502181,,Chuvoso,,Campanha 11,,,2022-03-25,08:25:20,,,-18.30728,-45.17858,0.566,160,28.421,7.35,129.4,62.5,6.74,0.8,,-0.08,,4.55,14.14,2.59,-124,38,566.6,,,,,86.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.1,1519,24.353
87104,-18.30707,-45.17844625,687.742,89.9,2022-03-25, _Campo2022-03-TM_0006SET_000_DJI_0841.TIF,0.028515064092918,0.1076453590000603,0.0505723778364137,0.0496823883537837,0.0394993497708843,0006SET_000_DJI_0841.T,16.633451909668086,63.69162988473352,422.4060155128436,0.0336811959684057,-0.2049072430840547,7.260559925556963,-0.0813233964319286,-0.0088772785220162,-0.1229356687129005,0.7810459278512217,0.9824016682484488,0.5901726669468302,14.94132613245845,0.5811548841406545,3.7750347903582337,2.1285405908391413,,Chuvoso,,Campanha 11,,,2022-03-25,08:25:20,,,-18.30728,-45.17858,0.566,160,28.421,7.35,129.4,62.5,6.74,0.8,,-0.08,,4.55,14.14,2.59,-124,38,566.6,,,,,86.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.1,1519,27.288
87268,-18.3069504444444,-45.1785206388889,687.651,89.9,2022-03-25, _Campo2022-03-TM_0006SET_000_DJI_0851.TIF,0.0301931475786469,0.1173348848358242,0.0518547662529936,0.052346633419249,0.038367119040692,0006SET_000_DJI_0851.T,16.533113295538456,89.6829561828964,404.7192282457571,0.0063591623867421,-0.1846136270952648,7.361059130739141,-0.0914243008027712,0.0047203508571144,-0.1494941850128414,0.7398957089788646,1.0094854764913148,0.537779342381558,14.016672500512524,0.5906791802954292,3.886142858414848,2.262759883312566,,Chuvoso,,Campanha 11,,,2022-03-25,08:25:20,,,-18.30728,-45.17858,0.566,160,28.421,7.35,129.4,62.5,6.74,0.8,,-0.08,,4.55,14.14,2.59,-124,38,566.6,,,,,86.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.1,1519,37.177
87432,-18.3067805,-45.1786274166667,687.669,89.9,2022-03-25, _Campo2022-03-TM_0006SET_000_DJI_0861.TIF,0.0364969517109653,0.1315039721572657,0.0648393233894231,0.0178436274090272,0.0195651495042573,0006SET_000_DJI_0861.T,387516.1312891473,970635.626673774,2356.332807228422,253.85301475803956,-0.2155248333074162,7.044919677879041,-0.2694876482981481,-0.568384358886194,-0.5363954341874174,0.30174820589582,0.2751976189180583,-0.5604019948068697,-28.642868007981665,0.5655148689588024,3.603149468446048,2.028151517983256,,Chuvoso,,Campanha 11,,,2022-03-25,08:25:20,,,-18.30728,-45.17858,0.566,160,28.421,7.35,129.4,62.5,6.74,0.8,,-0.08,,4.55,14.14,2.59,-124,38,566.6,,,,,86.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.1,1519,55.767
87596,-18.3066484166667,-45.1787101388889,687.695,89.9,2022-03-25, _Campo2022-03-TM_0006SET_000_DJI_0871.TIF,0.0321669720125129,0.1207469503847003,0.0557347455639531,0.0414737807665132,0.033461747081782,0006SET_000_DJI_0871.T,59.7713601938117,385.9780376315913,671.5671640303668,0.2631932196514706,-0.1951831783440755,7.219911206726952,-0.14565709997494,-0.1467048759587084,-0.2497071109133581,0.6003749858943225,0.7441279285813535,0.23343479615573,6.976168805089735,0.5792800091942558,3.753755570705565,2.1664573716614286,,Chuvoso,,Campanha 11,,,2022-03-25,08:25:20,,,-18.30728,-45.17858,0.566,160,28.421,7.35,129.4,62.5,6.74,0.8,,-0.08,,4.55,14.14,2.59,-124,38,566.6,,,,,86.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.1,1519,71.56
87760,-18.3064885277778,-45.1788098333333,687.703,89.9,2022-03-25, _Campo2022-03-TM_0006SET_000_DJI_0881.TIF,0.0293718499156034,0.1042580569577948,0.0494194213754177,0.0341365241885559,0.0289914577860712,0006SET_000_DJI_0881.T,49.76443400245681,222.41878876423425,271.7881328146071,0.8553037366528482,-0.1922879827688507,7.023061488484103,-0.1528696986124526,-0.1829061604618026,-0.2605246084191285,0.5866409799871146,0.6907511913026192,0.1377693694955847,4.752067678424069,0.5604000541071921,3.5495910968280247,2.109657581091288,,Chuvoso,,Campanha 11,,,2022-03-25,08:25:20,,,-18.30728,-45.17858,0.566,160,28.421,7.35,129.4,62.5,6.74,0.8,,-0.08,,4.55,14.14,2.59,-124,38,566.6,,,,,86.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.1,1519,91.291
89073,-18.3060756388889,-45.1804207222222,687.757,89.9,2022-03-25, _Campo2022-03-TM_0006SET_000_DJI_0961.TIF,0.0336474327781628,0.0844623615295998,0.0563733440804865,0.0990265358210787,0.0489715946839698,0006SET_000_DJI_0961.T,5.7699102572453,64.28385701849409,582.0879617932295,8.1113395045608e-11,-0.2690655445900528,5.691686720830024,-0.0626683793659797,0.274473775446995,-0.0702620314115562,0.8687012538062506,1.756619860615232,0.9609032971841328,19.621646045736625,0.4302346731637416,2.510217111850979,1.4982677169019718,,Chuvoso,Foto Gabi (escuma? + bolhas),Campanha 11,,,2022-03-25,08:28:38,,,-18.30663,-45.18115,0.64,160,28.428,7.4,135.7,63.4,6.97,0.97,,-0.05,,4.75,14.76,2.44,-128,39,566.4,,,,,89.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.1,1520,98.625
