Degree,Image Index
90.0, _Campo2022-03-TM_0001SET_000_DJI_2561.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_2571.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_2581.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_2591.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_2601.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_2611.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_2621.TIF
28.1, _Campo2022-03-TM_0001SET_not90_DJI_1621.TIF
18.7, _Campo2022-03-TM_0001SET_not90_DJI_1631.TIF
17.8, _Campo2022-03-TM_0001SET_not90_DJI_1801.TIF
41.4, _Campo2022-03-TM_0001SET_not90_DJI_2031.TIF
17.7, _Campo2022-03-TM_0001SET_not90_DJI_2061.TIF
15.0, _Campo2022-03-TM_0001SET_not90_DJI_2071.TIF
15.0, _Campo2022-03-TM_0001SET_not90_DJI_2081.TIF
21.8, _Campo2022-03-TM_0001SET_not90_DJI_2091.TIF
32.1, _Campo2022-03-TM_0001SET_not90_DJI_2101.TIF
26.8, _Campo2022-03-TM_0001SET_not90_DJI_2121.TIF
6.9, _Campo2022-03-TM_0001SET_not90_DJI_2131.TIF
24.5, _Campo2022-03-TM_0001SET_not90_DJI_2141.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_2801.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_2811.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_2821.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_2831.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_2841.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_2851.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_2861.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_2871.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_2881.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_2891.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_2901.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_2911.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_2921.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_2931.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_2941.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_2951.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_2961.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_2971.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_2981.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_2991.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3001.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3011.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3021.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3031.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3041.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3051.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3061.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3091.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3101.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3111.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3121.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3131.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3151.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3161.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3171.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3191.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3201.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3211.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3221.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3231.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3241.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3251.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3261.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3271.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3281.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3291.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3301.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3311.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3321.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3331.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3341.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3351.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3361.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3371.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3381.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3391.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3401.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3411.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3421.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3431.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3441.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3451.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3461.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3471.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3481.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3491.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3501.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3511.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3521.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3531.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3541.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3551.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3561.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3571.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3581.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3591.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3601.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3611.TIF
