,lat_d,long_d,Altitude,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,region,season,obs,campanha,station,spot,date,time,lat_utm,lon_utm,lat_p,long_p,depth_m,secchi_cm,temp_c,ph,orp_mv,cond_uscm,od_mgl,chl_rfu,chl_ugl,pc_rfu,pc_ugl,fdom_rfu,fdom_ugl,turb_unt,tss_mgl,sdt_mgl,alt_m,ref,total_depth_m,photiczone_m,perfil_vertical,od_pct,odo_local_pct,st_mgl,ecoli,ct,dqo_mgl,dbo_mgl,color_r_uh,color_a_uh,solar_elev,total_hardness,c_total_mgl,c_org_mgl,c_inorg_mgl,n_total_mgl,nitrato_mgl,nitrito_mgl,chloride_mgl,phosphate_mgl,sulfate_mgl,lithium_mgl,sodium_mgl,amonio_mgl,potassium_mgl,calcium_mgl,magnesium,chla_mgl,chlb_ugl,chlc_ugl,feof_ugl,caroten_mgl,press_mmhg,Distance
62217,-18.4588366,-45.3390223,726.702,2021-10-29, _Campo2021-10-TM_0003SET_000_IMG_0186,0.0146346646994077,0.0161465243745047,0.00914235383165,0.0107902117120299,0.0036639285557113,0003SET_000_IMG_0186,0.3401543725676368,2.717516599280703,-0.1779796505841212,0.0826716398733926,-0.427792009439479,0.4007642477178155,1.180244378058872,-0.089200812141548,-24.34567453628499,0.0491163506213711,1.1033067518901332,1.766123327955969,,Chuvoso,,Campanha 8,,,2021-10-29,10:00:09,464164.0,7959043.0,-18.45859,-45.339401,0.169,320,27.611,8.2,125.5,79.5,7.89,0.03,12.33,3.08,2.92,2.13,4.03,1.17,,45.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.311
62221,-18.4588366,-45.3390223,726.702,2021-10-29, _Campo2021-10-TM_0003SET_000_IMG_0186,0.0146346646994077,0.0161465243745047,0.00914235383165,0.0107902117120299,0.0036639285557113,0003SET_000_IMG_0186,0.3401543725676368,2.717516599280703,-0.1779796505841212,0.0826716398733926,-0.427792009439479,0.4007642477178155,1.180244378058872,-0.089200812141548,-24.34567453628499,0.0491163506213711,1.1033067518901332,1.766123327955969,,Chuvoso,,Campanha 8,,,2021-10-29,10:10:23,464284.0,7959018.0,-18.458818,-45.338265,0.097,320,27.634,8.18,131.3,79.5,7.85,0.0,12.23,3.05,2.88,2.07,4.42,1.12,,45.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.22
62237,-18.4588241,-45.3389191,726.698,2021-10-29, _Campo2021-10-TM_0003SET_000_IMG_0187,0.0128830476699703,0.0152442007871834,0.0057285089859466,0.0063066710039297,0.0018670787411412,0003SET_000_IMG_0187,0.4693285521428513,3.002419135250964,-0.1372843223782633,0.0480393328948496,-0.5083780720528783,0.3259275224533277,1.1009271381787948,-0.1511229852520376,-80.94087406279817,0.0839453998072314,1.1832759745752417,2.6611114383482795,,Chuvoso,,Campanha 8,,,2021-10-29,10:00:09,464164.0,7959043.0,-18.45859,-45.339401,0.169,320,27.611,8.2,125.5,79.5,7.89,0.03,12.33,3.08,2.92,2.13,4.03,1.17,,45.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.623
62240,-18.4588241,-45.3389191,726.698,2021-10-29, _Campo2021-10-TM_0003SET_000_IMG_0187,0.0128830476699703,0.0152442007871834,0.0057285089859466,0.0063066710039297,0.0018670787411412,0003SET_000_IMG_0187,0.4693285521428513,3.002419135250964,-0.1372843223782633,0.0480393328948496,-0.5083780720528783,0.3259275224533277,1.1009271381787948,-0.1511229852520376,-80.94087406279817,0.0839453998072314,1.1832759745752417,2.6611114383482795,,Chuvoso,,Campanha 8,,,2021-10-29,10:08:23,464266.0,7958904.0,-18.459848,-45.338437,0.078,300,27.574,8.12,135.4,79.5,7.88,0.01,12.27,3.08,2.92,2.1,4.74,1.1,,45.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.324
62241,-18.4588241,-45.3389191,726.698,2021-10-29, _Campo2021-10-TM_0003SET_000_IMG_0187,0.0128830476699703,0.0152442007871834,0.0057285089859466,0.0063066710039297,0.0018670787411412,0003SET_000_IMG_0187,0.4693285521428513,3.002419135250964,-0.1372843223782633,0.0480393328948496,-0.5083780720528783,0.3259275224533277,1.1009271381787948,-0.1511229852520376,-80.94087406279817,0.0839453998072314,1.1832759745752417,2.6611114383482795,,Chuvoso,,Campanha 8,,,2021-10-29,10:10:23,464284.0,7959018.0,-18.458818,-45.338265,0.097,320,27.634,8.18,131.3,79.5,7.85,0.0,12.23,3.05,2.88,2.07,4.42,1.12,,45.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.734
62257,-18.4588064,-45.3387751,726.693,2021-10-29, _Campo2021-10-TM_0003SET_000_IMG_0188,0.0132729998997788,0.0153802847574739,0.0060965080748436,0.0070161981208181,0.0021575108279428,0003SET_000_IMG_0188,0.4666033131439815,2.9185240910816805,-0.1374710541572679,0.0701373181287915,-0.4772217380761109,0.3538928844932513,1.150855216573808,-0.1449554155431233,-67.1864139293054,0.0735442684111856,1.1587647761325015,2.522802326948196,,Chuvoso,,Campanha 8,,,2021-10-29,10:00:09,464164.0,7959043.0,-18.45859,-45.339401,0.169,320,27.611,8.2,125.5,79.5,7.89,0.03,12.33,3.08,2.92,2.13,4.03,1.17,,45.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.623
62260,-18.4588064,-45.3387751,726.693,2021-10-29, _Campo2021-10-TM_0003SET_000_IMG_0188,0.0132729998997788,0.0153802847574739,0.0060965080748436,0.0070161981208181,0.0021575108279428,0003SET_000_IMG_0188,0.4666033131439815,2.9185240910816805,-0.1374710541572679,0.0701373181287915,-0.4772217380761109,0.3538928844932513,1.150855216573808,-0.1449554155431233,-67.1864139293054,0.0735442684111856,1.1587647761325015,2.522802326948196,,Chuvoso,,Campanha 8,,,2021-10-29,10:08:23,464266.0,7958904.0,-18.459848,-45.338437,0.078,300,27.574,8.12,135.4,79.5,7.88,0.01,12.27,3.08,2.92,2.1,4.74,1.1,,45.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.673
62261,-18.4588064,-45.3387751,726.693,2021-10-29, _Campo2021-10-TM_0003SET_000_IMG_0188,0.0132729998997788,0.0153802847574739,0.0060965080748436,0.0070161981208181,0.0021575108279428,0003SET_000_IMG_0188,0.4666033131439815,2.9185240910816805,-0.1374710541572679,0.0701373181287915,-0.4772217380761109,0.3538928844932513,1.150855216573808,-0.1449554155431233,-67.1864139293054,0.0735442684111856,1.1587647761325015,2.522802326948196,,Chuvoso,,Campanha 8,,,2021-10-29,10:10:23,464284.0,7959018.0,-18.458818,-45.338265,0.097,320,27.634,8.18,131.3,79.5,7.85,0.0,12.23,3.05,2.88,2.07,4.42,1.12,,45.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.728
62277,-18.4587933,-45.3386726,726.781,2021-10-29, _Campo2021-10-TM_0003SET_000_IMG_0189,0.0131543713764889,0.0153173922720969,0.005897279809851,0.0066146906239518,0.0020448509304589,0003SET_000_IMG_0189,0.4737811396172091,2.9384077477009374,-0.1353069984332864,0.0573379563112311,-0.4850623850649151,0.3467447698586588,1.1216511403956813,-0.1536875070427717,-75.15829381669478,0.0759707379671029,1.164433619342237,2.597365695029469,,Chuvoso,,Campanha 8,,,2021-10-29,10:00:09,464164.0,7959043.0,-18.45859,-45.339401,0.169,320,27.611,8.2,125.5,79.5,7.89,0.03,12.33,3.08,2.92,2.13,4.03,1.17,,45.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.538
62280,-18.4587933,-45.3386726,726.781,2021-10-29, _Campo2021-10-TM_0003SET_000_IMG_0189,0.0131543713764889,0.0153173922720969,0.005897279809851,0.0066146906239518,0.0020448509304589,0003SET_000_IMG_0189,0.4737811396172091,2.9384077477009374,-0.1353069984332864,0.0573379563112311,-0.4850623850649151,0.3467447698586588,1.1216511403956813,-0.1536875070427717,-75.15829381669478,0.0759707379671029,1.164433619342237,2.597365695029469,,Chuvoso,,Campanha 8,,,2021-10-29,10:08:23,464266.0,7958904.0,-18.459848,-45.338437,0.078,300,27.574,8.12,135.4,79.5,7.88,0.01,12.27,3.08,2.92,2.1,4.74,1.1,,45.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.499
