,lat_d,long_d,Altitude,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,R^2/NIR,R^2/RE,R^2/B,MLR,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,region,season,obs,campanha,station,spot,date,time,lat_utm,lon_utm,lat_p,long_p,depth_m,secchi_cm,temp_c,ph,orp_mv,cond_uscm,od_mgl,chl_rfu,chl_ugl,pc_rfu,pc_ugl,fdom_rfu,fdom_ugl,turb_unt,tss_mgl,sdt_mgl,alt_m,ref,total_depth_m,photiczone_m,perfil_vertical,od_pct,odo_local_pct,st_mgl,ecoli,ct,dqo_mgl,dbo_mgl,color_r_uh,color_a_uh,solar_elev,total_hardness,c_total_mgl,c_org_mgl,c_inorg_mgl,n_total_mgl,nitrato_mgl,nitrito_mgl,chloride_mgl,phosphate_mgl,sulfate_mgl,lithium_mgl,sodium_mgl,amonio_mgl,potassium_mgl,calcium_mgl,magnesium,chla_mgl,chlb_ugl,chlc_ugl,feof_ugl,caroten_mgl,press_mmhg,id,Distance
63219,-18.4596824,-45.3380071,724.628,2021-10-29, _Campo2021-10-TM_0003SET_001_IMG_0236,0.0098791851627499,0.0120642909344063,0.003556964750028,0.0027923071372692,0.0002558280395445,0003SET_001_IMG_0236,1.280762097437849,23.87485457671995,1.0901637767319914,0.4250449259901253,0.5240440940206011,3.1640912305691278,-0.1504381847191163,-0.1204323308769668,-0.8658054325720731,0.0719231304000092,0.7850252486329024,-0.065723213375483,-256.9038698514155,0.0995788343643321,1.2211827934853858,3.391737557790341,,Chuvoso,,Campanha 8,,,2021-10-29,10:06:02,464315.0,7958859.0,-18.460256,-45.337974,0.106,300,27.439,8.11,133.4,78.9,7.86,0.12,12.62,3.1,2.93,2.2,5.12,1.18,,44.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1667,63.877
63220,-18.4596824,-45.3380071,724.628,2021-10-29, _Campo2021-10-TM_0003SET_001_IMG_0236,0.0098791851627499,0.0120642909344063,0.003556964750028,0.0027923071372692,0.0002558280395445,0003SET_001_IMG_0236,1.280762097437849,23.87485457671995,1.0901637767319914,0.4250449259901253,0.5240440940206011,3.1640912305691278,-0.1504381847191163,-0.1204323308769668,-0.8658054325720731,0.0719231304000092,0.7850252486329024,-0.065723213375483,-256.9038698514155,0.0995788343643321,1.2211827934853858,3.391737557790341,,Chuvoso,,Campanha 8,,,2021-10-29,10:08:23,464266.0,7958904.0,-18.459848,-45.338437,0.078,300,27.574,8.12,135.4,79.5,7.88,0.01,12.27,3.08,2.92,2.1,4.74,1.1,,45.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1668,48.939
63221,-18.4596824,-45.3380071,724.628,2021-10-29, _Campo2021-10-TM_0003SET_001_IMG_0236,0.0098791851627499,0.0120642909344063,0.003556964750028,0.0027923071372692,0.0002558280395445,0003SET_001_IMG_0236,1.280762097437849,23.87485457671995,1.0901637767319914,0.4250449259901253,0.5240440940206011,3.1640912305691278,-0.1504381847191163,-0.1204323308769668,-0.8658054325720731,0.0719231304000092,0.7850252486329024,-0.065723213375483,-256.9038698514155,0.0995788343643321,1.2211827934853858,3.391737557790341,,Chuvoso,,Campanha 8,,,2021-10-29,10:10:23,464284.0,7959018.0,-18.458818,-45.338265,0.097,320,27.634,8.18,131.3,79.5,7.85,0.0,12.23,3.05,2.88,2.07,4.42,1.12,,45.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669,99.892
63239,-18.459693,-45.338108,724.56,2021-10-29, _Campo2021-10-TM_0003SET_001_IMG_0237,0.0099572162324578,0.0123452946555679,0.0035794169681337,0.0027810181068635,0.0002574890850956,0003SET_001_IMG_0237,1.2860896506385322,24.34387393010655,1.0906088585100224,0.4276294571391463,0.5166178242207952,3.220128011415809,-0.1489486049224016,-0.1255258251764407,-0.8657829607900426,0.0719360408099798,0.7769472323626818,-0.0667285195590545,-259.15086666403624,0.1070766621345881,1.2398339422745104,3.448968020622841,,Chuvoso,,Campanha 8,,,2021-10-29,10:06:02,464315.0,7958859.0,-18.460256,-45.337974,0.106,300,27.439,8.11,133.4,78.9,7.86,0.12,12.62,3.1,2.93,2.2,5.12,1.18,,44.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1667,64.178
63240,-18.459693,-45.338108,724.56,2021-10-29, _Campo2021-10-TM_0003SET_001_IMG_0237,0.0099572162324578,0.0123452946555679,0.0035794169681337,0.0027810181068635,0.0002574890850956,0003SET_001_IMG_0237,1.2860896506385322,24.34387393010655,1.0906088585100224,0.4276294571391463,0.5166178242207952,3.220128011415809,-0.1489486049224016,-0.1255258251764407,-0.8657829607900426,0.0719360408099798,0.7769472323626818,-0.0667285195590545,-259.15086666403624,0.1070766621345881,1.2398339422745104,3.448968020622841,,Chuvoso,,Campanha 8,,,2021-10-29,10:08:23,464266.0,7958904.0,-18.459848,-45.338437,0.078,300,27.574,8.12,135.4,79.5,7.88,0.01,12.27,3.08,2.92,2.1,4.74,1.1,,45.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1668,38.745
63241,-18.459693,-45.338108,724.56,2021-10-29, _Campo2021-10-TM_0003SET_001_IMG_0237,0.0099572162324578,0.0123452946555679,0.0035794169681337,0.0027810181068635,0.0002574890850956,0003SET_001_IMG_0237,1.2860896506385322,24.34387393010655,1.0906088585100224,0.4276294571391463,0.5166178242207952,3.220128011415809,-0.1489486049224016,-0.1255258251764407,-0.8657829607900426,0.0719360408099798,0.7769472323626818,-0.0667285195590545,-259.15086666403624,0.1070766621345881,1.2398339422745104,3.448968020622841,,Chuvoso,,Campanha 8,,,2021-10-29,10:10:23,464284.0,7959018.0,-18.458818,-45.338265,0.097,320,27.634,8.18,131.3,79.5,7.85,0.0,12.23,3.05,2.88,2.07,4.42,1.12,,45.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669,98.695
63259,-18.4597059,-45.3382298,724.406,2021-10-29, _Campo2021-10-TM_0003SET_001_IMG_0238,0.0100151222593352,0.0124249440054962,0.0035208893123903,0.002635050941287,0.0001942843724232,0003SET_001_IMG_0238,1.2929559302520186,59.95348902024558,1.0870173958542249,0.4439522443158379,0.5226770393550396,3.2215908356841965,-0.1482439891534827,-0.1438997674764854,-0.8954103420696722,0.055180482879566,0.7484049362227998,-0.054331682825635,-279.6502989303073,0.1073892437625163,1.2406183053746327,3.52892207141298,,Chuvoso,,Campanha 8,,,2021-10-29,10:06:02,464315.0,7958859.0,-18.460256,-45.337974,0.106,300,27.439,8.11,133.4,78.9,7.86,0.12,12.62,3.1,2.93,2.2,5.12,1.18,,44.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1667,66.854
63260,-18.4597059,-45.3382298,724.406,2021-10-29, _Campo2021-10-TM_0003SET_001_IMG_0238,0.0100151222593352,0.0124249440054962,0.0035208893123903,0.002635050941287,0.0001942843724232,0003SET_001_IMG_0238,1.2929559302520186,59.95348902024558,1.0870173958542249,0.4439522443158379,0.5226770393550396,3.2215908356841965,-0.1482439891534827,-0.1438997674764854,-0.8954103420696722,0.055180482879566,0.7484049362227998,-0.054331682825635,-279.6502989303073,0.1073892437625163,1.2406183053746327,3.52892207141298,,Chuvoso,,Campanha 8,,,2021-10-29,10:08:23,464266.0,7958904.0,-18.459848,-45.338437,0.078,300,27.574,8.12,135.4,79.5,7.88,0.01,12.27,3.08,2.92,2.1,4.74,1.1,,45.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1668,26.968
63261,-18.4597059,-45.3382298,724.406,2021-10-29, _Campo2021-10-TM_0003SET_001_IMG_0238,0.0100151222593352,0.0124249440054962,0.0035208893123903,0.002635050941287,0.0001942843724232,0003SET_001_IMG_0238,1.2929559302520186,59.95348902024558,1.0870173958542249,0.4439522443158379,0.5226770393550396,3.2215908356841965,-0.1482439891534827,-0.1438997674764854,-0.8954103420696722,0.055180482879566,0.7484049362227998,-0.054331682825635,-279.6502989303073,0.1073892437625163,1.2406183053746327,3.52892207141298,,Chuvoso,,Campanha 8,,,2021-10-29,10:10:23,464284.0,7959018.0,-18.458818,-45.338265,0.097,320,27.634,8.18,131.3,79.5,7.85,0.0,12.23,3.05,2.88,2.07,4.42,1.12,,45.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669,98.8
63279,-18.4597161,-45.3383321,724.277,2021-10-29, _Campo2021-10-TM_0003SET_001_IMG_0239,0.0102390398411219,0.0126967282346709,0.0036314614009812,0.0026832725850323,0.0002301207074166,0003SET_001_IMG_0239,1.3078834112569506,39.510497106326135,1.0906997309182909,0.4420232341769897,0.520415836112599,3.216263525640727,-0.148298530152757,-0.1501549895924425,-0.8808153233794224,0.0633686227132753,0.7388960775701197,-0.0632863787049898,-275.01383693567,0.1071552688110292,1.240031138825973,3.496313696530085,,Chuvoso,,Campanha 8,,,2021-10-29,10:06:02,464315.0,7958859.0,-18.460256,-45.337974,0.106,300,27.439,8.11,133.4,78.9,7.86,0.12,12.62,3.1,2.93,2.2,5.12,1.18,,44.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1667,70.927
