Latitude,Longitude,Altitude,Gimbal Degree,DateTime,Image Index
-19.8525468888889,-43.9812297222222,854.689,89.9,2022:12:06 08:36:05, _Pampulha_2022-12-06_0000SET_000_DJI_1891.TIF
-19.8508216666667,-43.9789096944444,854.376,90.0,2022:12:06 08:36:38, _Pampulha_2022-12-06_0000SET_000_DJI_1901.TIF
-19.8507496944444,-43.9788117777778,854.557,89.9,2022:12:06 08:36:39, _Pampulha_2022-12-06_0000SET_000_DJI_1911.TIF
-19.8506840555556,-43.9787238888889,854.405,89.9,2022:12:06 08:36:40, _Pampulha_2022-12-06_0000SET_000_DJI_1921.TIF
-19.8506233333333,-43.9786421388889,854.281,89.9,2022:12:06 08:36:42, _Pampulha_2022-12-06_0000SET_000_DJI_1931.TIF
-19.85057575,-43.9785795277778,854.361,89.9,2022:12:06 08:36:43, _Pampulha_2022-12-06_0000SET_000_DJI_1941.TIF
-19.8505611111111,-43.9785606111111,854.389,90.0,2022:12:06 08:36:44, _Pampulha_2022-12-06_0000SET_000_DJI_1951.TIF
-19.8505636388889,-43.9785621666667,854.286,89.9,2022:12:06 08:36:45, _Pampulha_2022-12-06_0000SET_000_DJI_1961.TIF
-19.8505635833333,-43.9785453611111,854.379,90.0,2022:12:06 08:36:46, _Pampulha_2022-12-06_0000SET_000_DJI_1971.TIF
-19.8505656944444,-43.978553,854.232,89.9,2022:12:06 08:36:47, _Pampulha_2022-12-06_0000SET_000_DJI_1981.TIF
-19.8505641388889,-43.9785321111111,854.227,90.0,2022:12:06 08:36:48, _Pampulha_2022-12-06_0000SET_000_DJI_1991.TIF
-19.8505605,-43.9784633333333,854.129,89.9,2022:12:06 08:36:50, _Pampulha_2022-12-06_0000SET_000_DJI_2001.TIF
-19.8505575555556,-43.9783888611111,853.941,90.0,2022:12:06 08:36:51, _Pampulha_2022-12-06_0000SET_000_DJI_2011.TIF
-19.8505060277778,-43.9760028333333,854.318,89.9,2022:12:06 08:37:16, _Pampulha_2022-12-06_0000SET_000_DJI_2021.TIF
-19.850505,-43.9759243888889,854.239,90.0,2022:12:06 08:37:17, _Pampulha_2022-12-06_0000SET_000_DJI_2031.TIF
-19.8505033055556,-43.9758878333333,854.221,89.9,2022:12:06 08:37:18, _Pampulha_2022-12-06_0000SET_000_DJI_2041.TIF
-19.8505031388889,-43.9758827777778,854.192,90.0,2022:12:06 08:37:20, _Pampulha_2022-12-06_0000SET_000_DJI_2051.TIF
-19.8505060833333,-43.9759106388889,854.102,90.0,2022:12:06 08:37:21, _Pampulha_2022-12-06_0000SET_000_DJI_2061.TIF
-19.8505020555556,-43.975914,854.131,90.0,2022:12:06 08:37:22, _Pampulha_2022-12-06_0000SET_000_DJI_2071.TIF
-19.8504998055556,-43.9758847777778,854.153,90.0,2022:12:06 08:37:23, _Pampulha_2022-12-06_0000SET_000_DJI_2081.TIF
-19.85050125,-43.9758820277778,853.98,89.9,2022:12:06 08:37:24, _Pampulha_2022-12-06_0000SET_000_DJI_2091.TIF
-19.8504918055556,-43.9758779444444,854.044,90.0,2022:12:06 08:37:25, _Pampulha_2022-12-06_0000SET_000_DJI_2101.TIF
-19.8504571666667,-43.9758567222222,854.05,89.9,2022:12:06 08:37:26, _Pampulha_2022-12-06_0000SET_000_DJI_2111.TIF
-19.85045875,-43.9758564722222,853.808,89.9,2022:12:06 08:37:28, _Pampulha_2022-12-06_0000SET_000_DJI_2121.TIF
-19.8504993333333,-43.9758796111111,853.787,90.0,2022:12:06 08:37:29, _Pampulha_2022-12-06_0000SET_000_DJI_2131.TIF
-19.8505016111111,-43.9758806111111,853.84,89.9,2022:12:06 08:37:30, _Pampulha_2022-12-06_0000SET_000_DJI_2141.TIF
-19.8496614722222,-43.9753916111111,854.385,89.9,2022:12:06 08:37:46, _Pampulha_2022-12-06_0000SET_000_DJI_2151.TIF
-19.8495752777778,-43.97534125,854.492,89.9,2022:12:06 08:37:47, _Pampulha_2022-12-06_0000SET_000_DJI_2161.TIF
-19.8495257222222,-43.9753124722222,854.523,90.0,2022:12:06 08:37:48, _Pampulha_2022-12-06_0000SET_000_DJI_2171.TIF
-19.8495120277778,-43.9753046666667,854.477,90.0,2022:12:06 08:37:49, _Pampulha_2022-12-06_0000SET_000_DJI_2181.TIF
-19.8495201944444,-43.9753094722222,854.36,90.0,2022:12:06 08:37:51, _Pampulha_2022-12-06_0000SET_000_DJI_2191.TIF
-19.84954475,-43.9753243333333,854.39,89.9,2022:12:06 08:37:52, _Pampulha_2022-12-06_0000SET_000_DJI_2201.TIF
