,lat_d,long_d,Altitude,Gimbal Degree,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,R^2/NIR,R^2/RE,R^2/B,R/B,MLR,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,date,time,lat_p,long_p,spot,northing,easting,alt,obs,medicao,secchi_m,secchi_cm,chl_rfu,pc_rfu,cond_uscm,depth_m,fdom_qsu,fdom_rfu,od_mgl,orp_mv,press_psi,sal_psu,cond_uscm.1,sdt_mgl,turb_fnu,ph,temp_c,vertical_position_m,epsg,press_mmhg,id,Distance
686,-19.8577228333333,-43.9794046111111,841.91,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2671.TIF,0.0573100555002419,0.1013146351861142,0.1083245696895291,0.0473198137354501,0.0686373097823524,0000SET_000_DJI_2671.T,761390.4826856741,57990.694201401,986406.8522068688,inf,3171407.905299609,-0.5035256169612015,4.28115772821149,-0.2501959798027228,-0.3919496136748382,-0.2242701084867424,0.633626424541311,0.4368336183663062,-0.2528496728011523,-3.683851736073773,0.2774131788403688,1.7678334857952904,0.9352876773615976,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,93.227
895,-19.8584813055556,-43.9781451666667,840.763,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2741.TIF,0.0563843291337714,0.1015138125111162,0.113396545341557,0.0456752943950006,0.0654887345751249,0000SET_000_DJI_2741.T,4757061.292277065,295680.235765626,4746213.107672266,inf,3682537.622220494,-0.5616202839543882,4.352743870294965,-0.3034095922051864,-0.4257274641363994,-0.2678130407865073,0.5775196623307087,0.402792644673821,-0.2723185044757522,-4.158249601897012,0.2858138981701308,1.8003905352899638,0.8952108038684131,2022-05-12,09:36:30,-19.859002,-43.977756,P5,,,,,,0.6,60,7.07,4.61,269.4,0.305,29.54,9.55,4.21,138.2,0.433,0.13,277.4,180.0,7.54,7.4,23.489,0.362,4674,694.5,115,70.772
925,-19.8586673333333,-43.9780164166667,840.563,90.0,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2751.TIF,0.0566190634241904,0.1014179959929469,0.1096070923877739,0.0461906641694004,0.0661809820000654,0000SET_000_DJI_2751.T,1475390.5917920065,114241.38495305592,1628269.9395730416,inf,2440139.7705357894,-0.5224716623987378,4.332805718051777,-0.2747843483539243,-0.407043269555047,-0.2470367261199866,0.6038020036689482,0.4214203950049562,-0.2638967057015408,-3.987500604044829,0.2834710588388648,1.7912340801740678,0.925286802008622,2022-05-12,09:36:30,-19.859002,-43.977756,P5,,,,,,0.6,60,7.07,4.61,269.4,0.305,29.54,9.55,4.21,138.2,0.433,0.13,277.4,180.0,7.54,7.4,23.489,0.362,4674,694.5,115,46.115
955,-19.8589344166667,-43.9778304444444,840.342,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2761.TIF,0.0555845456224209,0.1020399614025021,0.1110875471931333,0.0451945169346133,0.0644280029582061,0000SET_000_DJI_2761.T,2994657.7412612587,217137.62342252265,3158033.200845468,inf,2411783.023092729,-0.5439339726107679,4.428572199012425,-0.2960170668609899,-0.4216288710178434,-0.265842793955833,0.579975024979115,0.4068369324604813,-0.2664720162544941,-4.13596579157284,0.2947220369275181,1.8357613660395324,0.9185544552991044,2022-05-12,09:36:30,-19.859002,-43.977756,P5,,,,,,0.6,60,7.07,4.61,269.4,0.305,29.54,9.55,4.21,138.2,0.433,0.13,277.4,180.0,7.54,7.4,23.489,0.362,4674,694.5,115,10.821
985,-19.8592053611111,-43.9776396388889,840.11,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2771.TIF,0.0557950498131053,0.1044968471235789,0.1100788246175148,0.0460144279392246,0.065308990489503,0000SET_000_DJI_2771.T,1761782.1493140017,147763.391596121,2279501.291825558,inf,2035644.387380617,-0.5194776330448805,4.503614425641226,-0.2793019172122968,-0.4104238692508697,-0.2552619410914847,0.5932929490883354,0.4180134380895559,-0.2487996373551495,-3.809577142294653,0.3038319356199956,1.872869501391401,0.9492910874245678,2022-05-12,09:36:30,-19.859002,-43.977756,P5,,,,,,0.6,60,7.07,4.61,269.4,0.305,29.54,9.55,4.21,138.2,0.433,0.13,277.4,180.0,7.54,7.4,23.489,0.362,4674,694.5,115,25.679
1015,-19.8593563333333,-43.9775344444444,840.257,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2781.TIF,0.0542628275056863,0.1034273309818016,0.1107850144489054,0.0453676483848171,0.0647762544598611,0000SET_000_DJI_2781.T,2609394.22541666,190182.8803272242,4183251.9681043983,inf,2575058.0083397003,-0.5464917870999144,4.574439309813416,-0.2917668447438012,-0.4189321198687932,-0.2620666863199397,0.584702315399672,0.4095106961035861,-0.2340571118357642,-3.613316543036596,0.3117791493628076,1.906043892957168,0.933585932143402,2022-05-12,09:36:30,-19.859002,-43.977756,P5,,,,,,0.6,60,7.07,4.61,269.4,0.305,29.54,9.55,4.21,138.2,0.433,0.13,277.4,180.0,7.54,7.4,23.489,0.362,4674,694.5,115,45.708
1045,-19.85951825,-43.9774214166667,840.173,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2791.TIF,0.0539804590138749,0.1019495675014031,0.1097408259069409,0.0448700098056681,0.0640311818312151,0000SET_000_DJI_2791.T,2322640.092104988,173940.4664397942,3398355.854352105,inf,2187067.3874714198,-0.5469406909676059,4.540597530408018,-0.2931420272108218,-0.4195748364096215,-0.2630437702291052,0.5834763981593586,0.4088725361308781,-0.2408455194256497,-3.761378636747853,0.307632273010793,1.888638395520098,0.9290031003398436,2022-05-12,09:36:30,-19.859002,-43.977756,P5,,,,,,0.6,60,7.07,4.61,269.4,0.305,29.54,9.55,4.21,138.2,0.433,0.13,277.4,180.0,7.54,7.4,23.489,0.362,4674,694.5,115,67.228
1075,-19.85972675,-43.9772755277778,840.083,90.0,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2801.TIF,0.053692916703327,0.1017074266900784,0.1090491977350595,0.044550598966212,0.0636862104600864,0000SET_000_DJI_2801.T,2143193.107620328,159435.1236762538,3046075.88587928,inf,2079739.203741085,-0.5442698024443531,4.552652590249709,-0.2919104699796829,-0.4199133081815699,-0.2626154518575876,0.5840135625281284,0.4085366962024784,-0.2434059414315042,-3.821956741860976,0.3089729979888123,1.8942429082787424,0.9326746899796704,2022-05-12,09:36:30,-19.859002,-43.977756,P5,,,,,,0.6,60,7.07,4.61,269.4,0.305,29.54,9.55,4.21,138.2,0.433,0.13,277.4,180.0,7.54,7.4,23.489,0.362,4674,694.5,115,94.971
1241,-19.8610445833333,-43.9763571111111,840.073,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2861.TIF,0.055020129317616,0.1031478589631644,0.1129407134484868,0.0452648349471318,0.0687392153920336,0000SET_000_DJI_2861.T,4828669.062391392,148014.26062833637,6123346.067199438,inf,16433298.050643044,-0.5615296789781655,4.509604332365264,-0.2794591910594862,-0.4277718397847875,-0.24329323739032,0.6086309648060275,0.4007840358452974,-0.2692541474865201,-3.917038417603539,0.3042823656586684,1.874729489778556,0.9132920787702568,2022-05-12,09:39:30,-19.86159,-43.97565,A25,,,,,,0.6,60,10.84,5.93,272.2,0.271,29.01,9.37,3.96,143.6,0.385,0.13,281.4,183.0,10.87,7.35,23.274,0.32,4674,694.5,101,95.639
1271,-19.8612413611111,-43.9762194722222,839.931,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2871.TIF,0.0539729200634697,0.1049389978326707,0.1092185967488972,0.0438099567133037,0.0664939356580995,0000SET_000_DJI_2871.T,2871511.6441586525,99631.4648816586,2952290.1269330643,inf,9271116.042097202,-0.5264551580101695,4.650393436559565,-0.2688575007868266,-0.4274276829764967,-0.2431509039539427,0.6088151435508248,0.4011217687957161,-0.285794363388049,-4.298051552513826,0.3207190401069273,1.944289797722028,0.9608162067301996,2022-05-12,09:39:30,-19.86159,-43.97565,A25,,,,,,0.6,60,10.84,5.93,272.2,0.271,29.01,9.37,3.96,143.6,0.385,0.13,281.4,183.0,10.87,7.35,23.274,0.32,4674,694.5,101,71.062
