,lat_d,long_d,Altitude,DateTime,Image Index,Degree,Image Index.1,Blue,Green,Red,Near-IR,RedEdge,Image,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,date,time,lat_p,long_p,spot,northing,easting,alt,obs,medicao,secchi_m,secchi_cm,chl_rfu,pc_rfu,cond_uscm,depth_m,fdom_qsu,fdom_rfu,od_mgl,orp_mv,press_psi,sal_psu,cond_uscm.1,sdt_mgl,turb_fnu,ph,temp_c,vertical_position_m,epsg,press_mmhg,id,Distance
356,-19.8578095,-43.98036975,841.593,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2561.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2561.TIF,0.0510333503350342,0.0825464121582294,0.093262361098526,0.0431679056378887,0.1016680734184438,0000SET_000_DJI_2561.T,-0.511578997310567,3.96377568848424,0.06292654039074,-0.3671799275846944,0.0431216004865881,1.090129739595995,0.4628652452009492,-0.362988458385275,-3.570328876906057,0.2359119468024537,1.6174993727888096,0.8850988886183586,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,12.945
386,-19.8580144722222,-43.9805247222222,841.603,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2571.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2571.TIF,0.0504345444399913,0.0870505079206895,0.0879504106498757,0.0411651259385606,0.0635392452211315,0000SET_000_DJI_2571.T,-0.4309666549454781,4.211102575817669,-0.1775550506007264,-0.362352091371049,-0.1611408071949824,0.7224439857828144,0.4680492749765095,-0.283685403929484,-4.464727318402858,0.2663268686448852,1.7260096009048935,0.9897680667715282,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,40.911
416,-19.8581891111111,-43.9806590555556,841.471,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2581.TIF,90.0, _Campo220512-Pampulha_0000SET_000_DJI_2581.TIF,0.0495120112652522,0.0853704292451815,0.089733182046565,0.0395510809510978,0.0611276205894231,0000SET_000_DJI_2581.T,-0.4711370334779355,4.210171759173667,-0.2120777274557776,-0.3881532054398174,-0.1896155989979996,0.6812153452632752,0.4407631608402527,-0.3109341811787361,-5.086639692180935,0.2658494155668507,1.7242367470758542,0.9513808303474678,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,64.879
446,-19.8584225,-43.9808375833333,841.245,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2591.TIF,90.0, _Campo220512-Pampulha_0000SET_000_DJI_2591.TIF,0.0490359223416718,0.085062062329093,0.0852399231639218,0.0400208256498897,0.0616529375814235,0000SET_000_DJI_2591.T,-0.4256186580826348,4.234562169548576,-0.1758936619398769,-0.3609997380843228,-0.1605727158067191,0.7232871088217779,0.4695079977128452,-0.283219903660857,-4.593777924803916,0.2686553424040786,1.734688739744687,0.997913409254408,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,96.849
506,-19.8584982222222,-43.9807474166667,841.351,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2611.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2611.TIF,0.0477709617829866,0.0873392338369627,0.0868478933225966,0.038234683708506,0.0596043617582026,0000SET_000_DJI_2611.T,-0.4474155522425972,4.437397231647895,-0.2016393466043611,-0.3886489291150645,-0.1860232985102446,0.6863075139520326,0.4402488332846857,-0.3111970427890956,-5.221044796210229,0.2928592610825423,1.8282913003453105,1.005657483395032,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,98.966
536,-19.8583933888889,-43.9805662222222,841.278,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2621.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2621.TIF,0.0472463858507374,0.0854548142263121,0.0894529871204075,0.0375852556091074,0.0583225897579544,0000SET_000_DJI_2621.T,-0.4939054827021601,4.398452456134386,-0.2345901720887079,-0.4082843905652484,-0.2106599616801183,0.6519915280129185,0.4201676972342584,-0.3173062572845415,-5.4405378533669335,0.2879282806288863,1.8087058446392963,0.9553041991910936,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,80.449
566,-19.85825075,-43.9803185277778,841.282,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2631.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2631.TIF,0.0465369864467863,0.0843326071441964,0.0877179898723851,0.0364833713130796,0.0563533817847681,0000SET_000_DJI_2631.T,-0.4883164984474549,4.408091340078567,-0.2396630663165605,-0.41251253666052,-0.2177018773879338,0.6424381346033211,0.4159166365549046,-0.3336944773966744,-5.921463217081847,0.2888036835778355,1.8121630467118517,0.9614060612524994,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,59.508
596,-19.8581235555556,-43.9800971111111,841.367,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2641.TIF,90.0, _Campo220512-Pampulha_0000SET_000_DJI_2641.TIF,0.0461335278139065,0.087343330583956,0.0864866018704172,0.0359221753394262,0.0554847367787328,0000SET_000_DJI_2641.T,-0.4620052130680155,4.574993816055656,-0.2322639704275574,-0.4130784383566647,-0.2183670689215552,0.6415414131065703,0.415349598233127,-0.341882997374241,-6.161748567676078,0.3087411800419588,1.8932723059090923,1.00990591253455,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,49.864
626,-19.857998,-43.9798790555556,841.435,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2651.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2651.TIF,0.046940363821406,0.0832768324864119,0.0874738097783246,0.0378985985433984,0.0580878589314292,0000SET_000_DJI_2651.T,-0.4867313602919798,4.326465827149301,-0.2256687417645709,-0.3954236175132675,-0.2018797332248933,0.6640600092603142,0.43325652145986,-0.2952357846681588,-5.082573021268953,0.2790450854057004,1.7740985733143286,0.952020184069396,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,53.709
656,-19.8578559722222,-43.9796332222222,841.788,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2661.TIF,90.0, _Campo220512-Pampulha_0000SET_000_DJI_2661.TIF,0.0469090924256952,0.0874131529841809,0.0876087641878487,0.0390310563902748,0.0589886108121274,0000SET_000_DJI_2661.T,-0.4656012324543297,4.512328420784009,-0.2130708378823527,-0.3835895184927756,-0.1952296442942854,0.6733186041255572,0.4455154316135005,-0.2538158829615932,-4.30279471693223,0.3015439507796347,1.863458627400324,0.9977672187767838,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,71.041
