,lat_d,long_d,Altitude,Gimbal Degree,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,R^2/NIR,R^2/RE,R^2/B,R/B,MLR,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,date,time,lat_p,long_p,spot,northing,easting,alt,obs,medicao,secchi_m,secchi_cm,chl_rfu,pc_rfu,cond_uscm,depth_m,fdom_qsu,fdom_rfu,od_mgl,orp_mv,press_psi,sal_psu,cond_uscm.1,sdt_mgl,turb_fnu,ph,temp_c,vertical_position_m,epsg,press_mmhg,id,Distance
955,-19.8589344166667,-43.9778304444444,840.342,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2761.TIF,0.0416609075524479,0.0782469596465429,0.0827523509422984,0.0321654668430647,0.0476098452893946,0000SET_000_DJI_2761.T,112095.4347113624,10176.342534043262,64870.09959667497,inf,109708.0736193114,-0.5251506713547559,4.561070259382875,-0.2930792321956967,-0.4402005282915916,-0.2695758944598091,0.5753292172036542,0.3886955050436337,-0.337359784824047,-7.085924828644551,0.3051180289394967,1.878186632109153,0.9455557305085264,2022-05-12,09:36:30,-19.859002,-43.977756,P5,,,,,,0.6,60,7.07,4.61,269.4,0.305,29.54,9.55,4.21,138.2,0.433,0.13,277.4,180.0,7.54,7.4,23.489,0.362,4674,694.5,115,10.821
985,-19.8592053611111,-43.9776396388889,840.11,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2771.TIF,0.0413381455181949,0.0786961161539147,0.0811339238445146,0.0323070072651343,0.0477397015920287,0000SET_000_DJI_2771.T,68036.0465911008,6948.467901780921,45896.41180652103,inf,90789.811972674,-0.5056892292941965,4.613349790171473,-0.2782057538180798,-0.4304170999106622,-0.259123789987029,0.5884061725341582,0.3981935759331397,-0.3228304352702094,-6.762305261751234,0.3112275621586137,1.9037166560671368,0.9699532874156104,2022-05-12,09:36:30,-19.859002,-43.977756,P5,,,,,,0.6,60,7.07,4.61,269.4,0.305,29.54,9.55,4.21,138.2,0.433,0.13,277.4,180.0,7.54,7.4,23.489,0.362,4674,694.5,115,25.679
1015,-19.8593563333333,-43.9775344444444,840.257,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2781.TIF,0.040481702057369,0.0784019856880468,0.0819964231064941,0.0319541422139173,0.0472928697135828,0000SET_000_DJI_2781.T,97845.89561230496,9142.834355250046,72803.8427104963,inf,102410.28743170093,-0.5295110919040723,4.681681747752529,-0.291911817769545,-0.4391578115638622,-0.2684178452519334,0.5767674725537779,0.3897016601860348,-0.3117701382620502,-6.592328614233107,0.3189696109686841,1.936726513547744,0.9561634851586271,2022-05-12,09:36:30,-19.859002,-43.977756,P5,,,,,,0.6,60,7.07,4.61,269.4,0.305,29.54,9.55,4.21,138.2,0.433,0.13,277.4,180.0,7.54,7.4,23.489,0.362,4674,694.5,115,45.708
1045,-19.85951825,-43.9774214166667,840.173,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2791.TIF,0.0402525701824993,0.077662313623293,0.0814429295526079,0.0317541782129028,0.0469584728538248,0000SET_000_DJI_2791.T,90032.51504005317,8622.095712719012,66686.72323083461,inf,93518.30908209072,-0.530377701209181,4.6682148837173685,-0.2924521110971839,-0.4389577818775724,-0.2685676016966579,0.5765813326188378,0.3898948427731992,-0.3122167718551797,-6.648784615016488,0.3172605716374885,1.9293752739560075,0.95357956853857,2022-05-12,09:36:30,-19.859002,-43.977756,P5,,,,,,0.6,60,7.07,4.61,269.4,0.305,29.54,9.55,4.21,138.2,0.433,0.13,277.4,180.0,7.54,7.4,23.489,0.362,4674,694.5,115,67.228
1075,-19.85972675,-43.9772755277778,840.083,90.0,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2801.TIF,0.0400125302576394,0.0770530649255921,0.0808002760334345,0.0315933537349911,0.0467551183615027,0000SET_000_DJI_2801.T,79678.7967542586,7773.12343625495,59798.91751073502,inf,87435.76494303088,-0.5293461825974429,4.662010361156868,-0.2908212068511179,-0.4378088188790477,-0.2669048834306539,0.5786504781512852,0.3910055173811291,-0.3113916985521403,-6.66005582842315,0.3164083743817021,1.9257233778881235,0.95362378333594,2022-05-12,09:36:30,-19.859002,-43.977756,P5,,,,,,0.6,60,7.07,4.61,269.4,0.305,29.54,9.55,4.21,138.2,0.433,0.13,277.4,180.0,7.54,7.4,23.489,0.362,4674,694.5,115,94.971
1241,-19.8610445833333,-43.9763571111111,840.073,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2861.TIF,0.0423436910876591,0.0795352172697366,0.086471956170839,0.0341726534371254,0.0526916309117243,0000SET_000_DJI_2861.T,154837.4469706112,8993.433584644019,147785.20179731355,inf,467336.7260096133,-0.5548267371109684,4.558747906694393,-0.2771630113395652,-0.4334988766067592,-0.2427382476069219,0.6093493572369714,0.3951876995775593,-0.2975441649466277,-5.646896097126152,0.3051514546964736,1.8783250875575377,0.91978047903302,2022-05-12,09:39:30,-19.86159,-43.97565,A25,,,,,,0.6,60,10.84,5.93,272.2,0.271,29.01,9.37,3.96,143.6,0.385,0.13,281.4,183.0,10.87,7.35,23.274,0.32,4674,694.5,101,95.639
1271,-19.8612413611111,-43.9762194722222,839.931,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2871.TIF,0.0421746767658816,0.0828528682025782,0.085372431180311,0.0336855879628375,0.0520269844756041,0000SET_000_DJI_2871.T,135480.72712717115,8002.920690006697,114602.13230227666,inf,403679.96690133365,-0.5213791067414753,4.7289810355841375,-0.2667048026346419,-0.4341315569455948,-0.2426898727736428,0.6094120052141939,0.3945721996799153,-0.3108807538633465,-5.975375221085919,0.3253538366042324,1.964516969804126,0.97048739337865,2022-05-12,09:39:30,-19.86159,-43.97565,A25,,,,,,0.6,60,10.84,5.93,272.2,0.271,29.01,9.37,3.96,143.6,0.385,0.13,281.4,183.0,10.87,7.35,23.274,0.32,4674,694.5,101,71.062
1301,-19.8615293888889,-43.9760198611111,839.994,90.0,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2881.TIF,0.0419059296180434,0.0822490409588809,0.0857989121154701,0.0335133814055977,0.0530945000942426,0000SET_000_DJI_2881.T,162148.339264305,7295.901549237825,138878.75180896767,inf,712783.1266667021,-0.5336595051530181,4.726518681290788,-0.2634160506764761,-0.4382241692524331,-0.2354640979793029,0.6188248636857637,0.3906038034665829,-0.3172850816013298,-5.975855899163747,0.3249415722412949,1.962706512146362,0.9586256856985356,2022-05-12,09:39:30,-19.86159,-43.97565,A25,,,,,,0.6,60,10.84,5.93,272.2,0.271,29.01,9.37,3.96,143.6,0.385,0.13,281.4,183.0,10.87,7.35,23.274,0.32,4674,694.5,101,39.263
1331,-19.8616661111111,-43.9759246388889,840.03,90.0,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2891.TIF,0.0420963724072704,0.0833788367029074,0.0872359503730722,0.0339955342360067,0.0544979961346202,0000SET_000_DJI_2891.T,203942.3930960488,7775.357597921466,196017.36210634623,inf,1153998.529735908,-0.541379320589967,4.760223543258945,-0.2609117328484014,-0.4391632776645744,-0.2309817446357158,0.6247194637251584,0.389696381945996,-0.3084920290334192,-5.660612332816541,0.3290089300380246,1.9806655997871008,0.9557852736896942,2022-05-12,09:39:30,-19.86159,-43.97565,A25,,,,,,0.6,60,10.84,5.93,272.2,0.271,29.01,9.37,3.96,143.6,0.385,0.13,281.4,183.0,10.87,7.35,23.274,0.32,4674,694.5,101,29.943
1361,-19.8620655833333,-43.9756464166667,840.059,90.0,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2901.TIF,0.0403776884998021,0.0799277453356899,0.0857481874560264,0.0329807637490796,0.0534773204840664,0000SET_000_DJI_2901.T,193995.33734656824,6774.717679073962,214273.60091364145,inf,1128817.4107668616,-0.567643923467026,4.764673119966178,-0.2682411420924496,-0.4444360298929138,-0.2317884664198589,0.6236554039289842,0.3846234506821835,-0.2970425587712113,-5.554552024717008,0.328747053021473,1.9795027478128584,0.9321216891806448,2022-05-12,09:39:30,-19.86159,-43.97565,A25,,,,,,0.6,60,10.84,5.93,272.2,0.271,29.01,9.37,3.96,143.6,0.385,0.13,281.4,183.0,10.87,7.35,23.274,0.32,4674,694.5,101,52.884
