Latitude,Longitude,Altitude,Gimbal Degree,DateTime,Image Index
-19.85200925,-43.9815068333333,841.545,90.0,2022:05:12 08:33:38, _Campo220512-Pampulha_0000SET_000_DJI_3421.TIF
-19.8519136666667,-43.9817143333333,841.451,90.0,2022:05:12 08:33:41, _Campo220512-Pampulha_0000SET_000_DJI_3431.TIF
-19.8518064722222,-43.9819489444444,841.375,89.9,2022:05:12 08:33:45, _Campo220512-Pampulha_0000SET_000_DJI_3441.TIF
-19.8516935833333,-43.9821897777778,841.388,89.9,2022:05:12 08:33:48, _Campo220512-Pampulha_0000SET_000_DJI_3451.TIF
-19.85157125,-43.9824546666667,841.405,89.9,2022:05:12 08:33:52, _Campo220512-Pampulha_0000SET_000_DJI_3461.TIF
-19.8514351111111,-43.9827471388889,841.594,89.9,2022:05:12 08:33:56, _Campo220512-Pampulha_0000SET_000_DJI_3471.TIF
-19.8513306944444,-43.9829697777778,841.904,90.0,2022:05:12 08:33:58, _Campo220512-Pampulha_0000SET_000_DJI_3481.TIF
-19.8512177777778,-43.9832100555556,841.904,89.9,2022:05:12 08:34:02, _Campo220512-Pampulha_0000SET_000_DJI_3491.TIF
-19.8511764166667,-43.9832841944444,842.016,89.9,2022:05:12 08:34:03, _Campo220512-Pampulha_0000SET_000_DJI_3501.TIF
-19.8512473611111,-43.9833809722222,842.189,89.9,2022:05:12 08:34:07, _Campo220512-Pampulha_0000SET_000_DJI_3511.TIF
-19.8514194444444,-43.9836324444444,842.149,90.0,2022:05:12 08:34:10, _Campo220512-Pampulha_0000SET_000_DJI_3521.TIF
-19.8516573888889,-43.983969,842.414,89.9,2022:05:12 08:34:15, _Campo220512-Pampulha_0000SET_000_DJI_3531.TIF
-19.8518364722222,-43.9842240833333,842.577,89.9,2022:05:12 08:34:19, _Campo220512-Pampulha_0000SET_000_DJI_3541.TIF
-19.85192,-43.9842088333333,842.656,89.9,2022:05:12 08:34:22, _Campo220512-Pampulha_0000SET_000_DJI_3551.TIF
-19.8522081944444,-43.9840929722222,841.939,89.9,2022:05:12 08:34:26, _Campo220512-Pampulha_0000SET_000_DJI_3561.TIF
-19.85250075,-43.98397175,842.323,89.9,2022:05:12 08:34:29, _Campo220512-Pampulha_0000SET_000_DJI_3571.TIF
-19.8528131666667,-43.9838445555556,842.473,90.0,2022:05:12 08:34:33, _Campo220512-Pampulha_0000SET_000_DJI_3581.TIF
-19.8530153055556,-43.9837598333333,842.578,90.0,2022:05:12 08:34:35, _Campo220512-Pampulha_0000SET_000_DJI_3591.TIF
-19.8530647222222,-43.9836881111111,842.486,89.9,2022:05:12 08:34:39, _Campo220512-Pampulha_0000SET_000_DJI_3601.TIF
