Degree,Image Index
90.0, _Campo220512-Pampulha_0000SET_000_DJI_3701.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_3711.TIF
90.0, _Campo220512-Pampulha_0000SET_000_DJI_3721.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_3731.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_3741.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_3751.TIF
90.0, _Campo220512-Pampulha_0000SET_000_DJI_3761.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_3771.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_3781.TIF
90.0, _Campo220512-Pampulha_0000SET_000_DJI_3791.TIF
90.0, _Campo220512-Pampulha_0000SET_000_DJI_3801.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_3811.TIF
90.0, _Campo220512-Pampulha_0000SET_000_DJI_3821.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_3831.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_3841.TIF
90.0, _Campo220512-Pampulha_0000SET_000_DJI_3851.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_3861.TIF
90.0, _Campo220512-Pampulha_0000SET_000_DJI_3871.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_3881.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4041.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4051.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4061.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4071.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4081.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4091.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4101.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4111.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4121.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4131.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4141.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4151.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4161.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4171.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4181.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4191.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4201.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4211.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4221.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4231.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4241.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4251.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4261.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4271.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4281.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4291.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4301.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4311.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4321.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4331.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4341.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4351.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4361.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4371.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4381.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4391.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4401.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4411.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4421.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4431.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4441.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4451.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4461.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4471.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4481.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4491.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4501.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4511.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4521.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4531.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4541.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4551.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4561.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4571.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4581.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4591.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4601.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4611.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4621.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4631.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4641.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4651.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4661.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4671.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4681.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4691.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4701.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4711.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4721.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4731.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4741.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4751.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4761.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4771.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4781.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4791.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4801.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4811.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4821.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4831.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4841.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4851.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4861.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4871.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4881.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4891.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4901.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4911.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4921.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4931.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4941.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4951.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4961.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4971.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_4981.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_4991.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5001.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5011.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5021.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5031.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5041.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5051.TIF
