Latitude,Longitude,DateTime,Image Index
-18.7031191,-45.1947688,2021:05:05 15:00:22, _Campo2021-05-TM_0000SET_002_IMG_0415
-18.7020968,-45.1946196,2021:05:05 15:00:32, _Campo2021-05-TM_0000SET_002_IMG_0420
-18.7010724,-45.1944522,2021:05:05 15:00:43, _Campo2021-05-TM_0000SET_002_IMG_0425
-18.6999243,-45.1942444,2021:05:05 15:01:01, _Campo2021-05-TM_0000SET_002_IMG_0430
-18.7003263,-45.1939798,2021:05:05 15:01:16, _Campo2021-05-TM_0000SET_002_IMG_0435
-18.7014525,-45.1941426,2021:05:05 15:01:28, _Campo2021-05-TM_0000SET_002_IMG_0440
-18.7023698,-45.1942796,2021:05:05 15:01:38, _Campo2021-05-TM_0000SET_002_IMG_0445
-18.7033181,-45.1944402,2021:05:05 15:01:47, _Campo2021-05-TM_0000SET_002_IMG_0450
-18.7043306,-45.1946123,2021:05:05 15:01:58, _Campo2021-05-TM_0000SET_002_IMG_0455
-18.7052605,-45.1947071,2021:05:05 15:02:07, _Campo2021-05-TM_0000SET_002_IMG_0460
-18.7050047,-45.194434,2021:05:05 15:02:26, _Campo2021-05-TM_0000SET_002_IMG_0465
-18.7040276,-45.1943171,2021:05:05 15:02:36, _Campo2021-05-TM_0000SET_002_IMG_0470
-18.703,-45.1941652,2021:05:05 15:02:46, _Campo2021-05-TM_0000SET_002_IMG_0475
-18.7018524,-45.193966,2021:05:05 15:03:02, _Campo2021-05-TM_0000SET_002_IMG_0480
-18.7001661,-45.193647,2021:05:05 15:03:17, _Campo2021-05-TM_0000SET_002_IMG_0485
-18.700596,-45.1934115,2021:05:05 15:03:31, _Campo2021-05-TM_0000SET_002_IMG_0490
-18.7015641,-45.1935593,2021:05:05 15:03:42, _Campo2021-05-TM_0000SET_002_IMG_0495
-18.702479,-45.1936926,2021:05:05 15:03:51, _Campo2021-05-TM_0000SET_002_IMG_0500
-18.7034606,-45.1938454,2021:05:05 15:04:01, _Campo2021-05-TM_0000SET_002_IMG_0505
-18.7044852,-45.1940225,2021:05:05 15:04:12, _Campo2021-05-TM_0000SET_002_IMG_0510
-18.7054776,-45.1941894,2021:05:05 15:04:22, _Campo2021-05-TM_0000SET_002_IMG_0515
-18.7057939,-45.1939561,2021:05:05 15:04:36, _Campo2021-05-TM_0000SET_002_IMG_0520
