,lat_d,long_d,Altitude,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,region,season,obs,campanha,station,spot,date,time,lat_utm,lon_utm,lat_p,long_p,depth_m,secchi_cm,temp_c,ph,orp_mv,cond_uscm,od_mgl,chl_rfu,chl_ugl,pc_rfu,pc_ugl,fdom_rfu,fdom_ugl,turb_unt,tss_mgl,sdt_mgl,alt_m,ref,total_depth_m,photiczone_m,perfil_vertical,od_pct,odo_local_pct,st_mgl,ecoli,ct,dqo_mgl,dbo_mgl,color_r_uh,color_a_uh,solar_elev,total_hardness,c_total_mgl,c_org_mgl,c_inorg_mgl,n_total_mgl,nitrato_mgl,nitrito_mgl,chloride_mgl,phosphate_mgl,sulfate_mgl,lithium_mgl,sodium_mgl,amonio_mgl,potassium_mgl,calcium_mgl,magnesium,chla_mgl,chlb_ugl,chlc_ugl,feof_ugl,caroten_mgl,press_mmhg,id,Distance
7166,-18.7013034,-45.1962944,683.02,2021-05-05, _Campo2021-05_0000SET_001_IMG_0243,0.0107740882421593,0.0161183553363035,0.0054009699911661,0.0035217082046522,0.0008050987452054,0000SET_001_IMG_0243,0.3333540016264118,3.917537334586504,-0.1708982388510566,-0.2106163357314213,-0.740544689591654,0.1490655838714583,0.652051059423095,-0.1538848289949209,-191.1378323607513,0.1987274632947164,1.4960296383346794,2.9843445460106057,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,18.287
7196,-18.7011451,-45.1962711,683.173,2021-05-05, _Campo2021-05_0000SET_001_IMG_0244,0.0107687090481931,0.0161930957241895,0.0054024694650186,0.003413038516267,0.0007872422424942,0000SET_001_IMG_0244,0.3313905922978227,3.9369922025256177,-0.1711764943588587,-0.2256740000661282,-0.745628785412193,0.1457189619657553,0.6317552627306241,-0.15755269114058,-200.132414949444,0.2011878181668567,1.5037174513417249,2.997350716934362,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,11.007
7226,-18.7009473,-45.1962405,683.454,2021-05-05, _Campo2021-05_0000SET_001_IMG_0245,0.0108299711312383,0.0162648267410804,0.0054266950439332,0.0035305980675837,0.0008083838053301,0000SET_001_IMG_0245,0.3322061878260244,3.931348857619623,-0.1704501085546528,-0.2116819169299685,-0.7406981291261092,0.1489642957243077,0.6505982073805215,-0.1543219089958733,-190.9017820227814,0.2005866821909235,1.5018347273489618,2.9971882719416385,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,27.209
7256,-18.7007497,-45.1962073,683.756,2021-05-05, _Campo2021-05_0000SET_001_IMG_0246,0.0109248670268801,0.0163806253855562,0.0055154869668596,0.0035317727240378,0.0008356926135089,0000SET_001_IMG_0246,0.3302303747688584,3.9237922544195705,-0.1713865577908159,-0.2192613355420369,-0.7368386130689719,0.1515174668221046,0.6403374253731063,-0.1601267546261409,-191.60963258225047,0.1998044304152988,1.4993889944154446,2.9699327519004144,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,48.412
7286,-18.7005726,-45.1961781,683.692,2021-05-05, _Campo2021-05_0000SET_001_IMG_0247,0.0109915955730607,0.016464264233254,0.0055370768222277,0.0036629295883437,0.0008746463377232,0000SET_001_IMG_0247,0.3312944127692105,3.919051555595411,-0.1698154972160866,-0.2037115139105212,-0.7271727690345577,0.157961748735736,0.6615276807501498,-0.1592091778340278,-182.02691872976533,0.1993260709662647,1.497895744418241,2.973457794040508,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,67.985
7316,-18.7003949,-45.1961484,683.955,2021-05-05, _Campo2021-05_0000SET_001_IMG_0248,0.011001623939195,0.0164553760989377,0.0055521407509229,0.0036128241631605,0.000861012338632,0000SET_001_IMG_0248,0.3311673434570662,3.913417308190944,-0.1708536404478198,-0.2116010924146951,-0.731485487213979,0.1550775416651458,0.6507083168883933,-0.160058835397794,-185.8960995287244,0.1986288433611991,1.4957224669635232,2.9637894349494687,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,87.789
8006,-18.7003503,-45.1958225,678.558,2021-05-05, _Campo2021-05_0000SET_001_IMG_0271,0.0119153922844093,0.0171084862264404,0.0057061653696551,0.003556488946663,0.000793257766416,0000SET_001_IMG_0271,0.3629325723253129,3.746178601738563,-0.1692712295981585,-0.232079957815655,-0.7558990237107339,0.1390176616041443,0.6232712717328707,-0.1564709889999665,-197.2511277222215,0.1789248787025421,1.4358307152695262,2.99824577770246,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,99.861
8036,-18.7005082,-45.1958447,678.598,2021-05-05, _Campo2021-05_0000SET_001_IMG_0272,0.0120742390520505,0.0170524888067062,0.0057990538732029,0.0037814306178158,0.0009278496170781,0000SET_001_IMG_0272,0.3679923353111816,3.681608079492428,-0.167241726559419,-0.2105972048990358,-0.7241376754048418,0.1600001719876479,0.6520771664649603,-0.1685246057227636,-181.6292237673881,0.1709168904518408,1.4123033951203965,2.940563957424984,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,82.808
8066,-18.7007055,-45.195872,678.82,2021-05-05, _Campo2021-05_0000SET_001_IMG_0273,0.0119902123484276,0.0169622589578459,0.0057117181134734,0.0036908723425874,0.0009016233232046,0000SET_001_IMG_0273,0.3701449347376034,3.68906884782948,-0.1661376239487554,-0.2149243636984515,-0.7273319903901706,0.1578550105751466,0.6461930139516134,-0.1690880032506971,-187.53729955622163,0.1717313370876546,1.4146754423469687,2.969729706694304,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,62.044
8096,-18.7009224,-45.1959037,678.891,2021-05-05, _Campo2021-05_0000SET_001_IMG_0274,0.0118935743952582,0.0167740133397499,0.0056047654168896,0.0036633095969055,0.000815971946786,0000SET_001_IMG_0274,0.3749137937947035,3.6787682571554488,-0.1670455677809142,-0.2094777844476154,-0.7458323240560363,0.1455853878071544,0.6536062304884968,-0.1541356219101155,-188.89818763651647,0.170242400218831,1.4103424910208209,2.992812739174148,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,40.776
